,agg_app_name,top_level_name,program_name,num_op_override,period,op_source,start_date,end_date,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,cumul_last_price_net_dollar_flow_at_program_end_ended,cumul_last_price_net_dollar_flow_ended,net_flows_retention,cumul_last_price_net_dollar_flow_at_program_end_live,cumul_last_price_net_dollar_flow_live,App Name Map Override,App Name Map,last_updated
87,Overnight,USD+/LUSD: Velodrome,Overnight - USD+/LUSD: Velodrome,0.0,During Program,Governance - Season 1,2023-01-30,0,-52788.18296242197,-52788.18296242197,20816.622725666908,20816.622725666908,0.0,9561.0,0.0,0.0,0.0,,,,20816.622725666908,20816.622725666908,,overnight,2023-06-03 00:34:01.806006
92,Perpetual Protocol,Perpetual protocol,Perpetual Protocol,0.0,During Program,Governance - Phase 0,2022-07-14,0,-27954854.274102625,-27954854.274102625,-27948493.60116818,-27948493.60116818,6320817.0079307705,6426184.773350603,13.884,0.0,9000019.72828754,,,0.0,-27948493.60116818,-27948493.60116818,Perpetual Protocol,perpetual protocol,2023-06-03 00:34:01.806006
93,Pickle Finance,Pickle Finance,Pickle - Pickle Finance,0.0,During Program,Governance - Season 1,2022-09-09,0,2032.380476684309,2032.380476684309,2404.764013425447,2404.764013425447,85188.67045036139,92600.0,0.0,0.0,200000.0,,,,2404.764013425447,2404.764013425447,,pickle finance,2023-06-03 00:34:01.806006
94,Pika Protocol,Pika protocol,Pika Protocol,0.0,During Program,Governance - Phase 0,2022-08-29,0,-1138111.840725772,-1138111.840725772,-1180197.5547917131,-1180197.5547917131,670294.7514026877,776728.0,0.0,0.0,900000.0,,,0.0,-1180197.5547917131,-1180197.5547917131,,pika protocol,2023-06-03 00:34:01.806006
95,Polynomial Protocol,Polynomial protocol*,Polynomial Protocol*,0.0,During Program,Governance - Phase 0,2022-09-14,0,2236439.75116,2236439.75116,2236439.75116,2236439.75116,166298.32174745854,378642.41813826025,51213.02852,131267.95314599999,900000.0,,,,2236439.75116,2236439.75116,,polynomial protocol,2023-06-03 00:34:01.806006
97,Pooltogether,PoolTogether #1,Pooltogether - PoolTogether #1,450000.0,Post-Program,Partner Fund,2022-07-22,2022-11-15,58768181.20609017,27544719.673414238,58763945.08730577,27546031.39356846,0.0,450000.0,0.0,0.0,0.0,58763945.08730577,27546031.39356846,0.4687573537250305,,,,pooltogether,2023-06-03 00:34:01.806006
98,Pooltogether,PoolTogether #2,Pooltogether - PoolTogether #2,550000.0,Post-Program,Governance - Season 2,2022-11-15,2023-03-28,-24098043.61572219,-22767809.273689494,-24453020.28741781,-22948640.13641504,0.0,550000.0,0.0,0.0,0.0,-24453020.28741781,-22948640.13641504,0.0,,,,pooltogether,2023-06-03 00:34:01.806006
101,Qidao,sUSDC/MAI: Velodrome,Qidao - sUSDC/MAI: Velodrome,0.0,During Program,Governance - Season 1,2022-08-26,0,6125838.342246064,6125838.342246064,7197492.616937064,7197492.616937064,0.0,366686.28489,0.0,0.0,0.0,,,,7197492.616937064,7197492.616937064,,qidao,2023-06-03 00:34:01.806006
102,Qidao,vUSDC/MAI: Velodrome,Qidao - vUSDC/MAI: Velodrome,0.0,During Program,Governance - Season 1,2022-08-26,0,-1131.300786912674,-1131.300786912674,5952.007595520354,5952.007595520354,0.0,6000.0,0.0,0.0,0.0,,,,5952.007595520354,5952.007595520354,,qidao,2023-06-03 00:34:01.806006
108,Revert Finance,Revert finance,Revert Compoundor,0.0,Post-Program,Governance - Season 2,2022-11-03,2023-03-06,2020406.475478872,-225127.9750357476,4526685.20735561,1122212.7760083424,236405.23128886067,240838.05391830354,0.0,0.0,240007.6832824366,4526685.20735561,1122212.7760083424,0.24791049622465672,,,,revert finance,2023-06-03 00:34:01.806006
109,Rocket Pool,WETH/rETH: Beethoven X,Rocket Pool - WETH/rETH: Beethoven X,0.0,During Program,Governance - Season 1,2022-11-09,0,-16185480.574454233,-16185480.574454233,-17250621.441639,-17250621.441639,0.0,349435.63,0.0,0.0,0.0,,,0.0,-17250621.441639,-17250621.441639,,rocket pool,2023-06-03 00:34:01.806006
110,Rocket Pool,sWETH/rETH: Velodrome,Rocket Pool - sWETH/rETH: Velodrome,0.0,Post-Program,Governance - Season 1,2022-11-09,2023-02-08,5978033.931489125,-552098.3325638338,5813561.36282493,-735367.2370648755,0.0,32334.0,0.0,0.0,0.0,5813561.36282493,-735367.2370648755,0.0,,,,rocket pool,2023-06-03 00:34:01.806006
111,Rocket Pool,vWETH/rETH: Velodrome,Rocket Pool - vWETH/rETH: Velodrome,0.0,During Program,Governance - Season 1,2023-02-08,0,26328663.56120632,26328663.56120632,27055564.80502011,27055564.80502011,0.0,158531.81,0.0,0.0,0.0,,,,27055564.80502011,27055564.80502011,,rocket pool,2023-06-03 00:34:01.806006
114,Rubicon,Rubicon,Rubicon,0.0,Post-Program,Governance - Phase 0,2022-07-15,2023-02-10,9296231.853667293,-1024459.576806924,9090736.57116614,-1094191.8214278398,722894.463998793,793865.5450721123,0.0,0.0,900254.3352601156,9090736.57116614,-1094191.8214278398,0.0,,,,rubicon,2023-06-03 00:34:01.806006
119,Stargate Finance,Stargate finance,Stargate,0.0,During Program,Governance - Phase 0,2022-08-05,0,-18129430.41884589,-18129430.41884589,-18289694.918467976,-18289694.918467976,405119.1551502866,619725.73,18474.165198,120000.0,1000000.0,,,0.0,-18289694.918467976,-18289694.918467976,,stargate finance,2023-06-03 00:34:01.806006
120,Sushi,Sushi,Sushi Trident,0.0,During Program,Governance - Season 1,2023-03-03,0,-1930206.032047705,-1930206.032047705,-1959727.3986186297,-1959727.3986186297,45921.29756989406,49999.99999999999,0.0,0.0,504000.0,,,0.0,-1959727.3986186297,-1959727.3986186297,,sushi,2023-06-03 00:34:01.806006
123,Synthetix,sETH-ETH: Curve,Synthetix - sETH-ETH: Curve,0.0,During Program,Governance - Phase 0,2022-08-25,0,-4323186.218707577,-4323186.218707577,-4751702.938997038,-4751702.938997038,0.0,590000.0,0.0,0.0,0.0,,,0.0,-4751702.938997038,-4751702.938997038,,synthetix,2023-06-03 00:34:01.806006
124,Synthetix,sUSD-3Crv: Curve,Synthetix - sUSD-3Crv: Curve,0.0,During Program,Governance - Phase 0,2022-08-25,0,17309896.890859585,17309896.890859585,18253020.370416597,18253020.370416597,0.0,590000.0,0.0,0.0,0.0,,,,18253020.370416597,18253020.370416597,,synthetix,2023-06-03 00:34:01.806006
125,Synthetix,ETH/sETH: Velodrome,Synthetix - ETH/sETH: Velodrome,0.0,During Program,Governance - Phase 0,2022-09-27,0,-13973222.275946354,-13973222.275946354,-7682012.703440312,-7682012.703440312,0.0,476557.0,0.0,0.0,0.0,,,0.0,-7682012.703440312,-7682012.703440312,,synthetix,2023-06-03 00:34:01.806006
126,Synthetix,USDC/SNX: Velodrome,Synthetix - USDC/SNX: Velodrome,0.0,During Program,Governance - Phase 0,2022-09-27,0,65608.60112534513,65608.60112534513,1142764.352792332,1142764.352792332,0.0,481512.5,0.0,0.0,0.0,,,,1142764.352792332,1142764.352792332,,synthetix,2023-06-03 00:34:01.806006
127,Synthetix,USDC/sUSD: Velodrome,Synthetix - USDC/sUSD: Velodrome,0.0,During Program,Governance - Phase 0,2022-09-27,0,28040793.539037596,28040793.539037596,32568833.60732652,32568833.60732652,0.0,609823.0,0.0,0.0,0.0,,,,32568833.60732652,32568833.60732652,,synthetix,2023-06-03 00:34:01.806006
128,Synthetix,SNX Bridge: Hop,Synthetix - SNX Bridge: Hop,0.0,During Program,Governance - Phase 0,2022-10-25,0,-316708.44740295893,-316708.44740295893,-337177.0572258379,-337177.0572258379,0.0,83000.0,0.0,0.0,0.0,,,0.0,-337177.0572258379,-337177.0572258379,,synthetix,2023-06-03 00:34:01.806006
129,Synthetix,sUSD Bridge: Hop,Synthetix - sUSD Bridge: Hop,0.0,During Program,Governance - Phase 0,2023-04-10,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,,,,0.0,0.0,,synthetix,2023-06-03 00:34:01.806006
132,Thales,Thales,Thales,0.0,During Program,Governance - Phase 0,2022-07-15,0,-160420.7141868989,-160420.7141868989,-161791.7667427836,-161791.7667427836,1229117.4150306156,1231685.9091625807,44292.813,1302.0,1300254.3352601156,,,0.0,-161791.7667427836,-161791.7667427836,,thales,2023-06-03 00:34:01.806006
135,Velodrome,Velodrome #1 ,Velodrome - Velodrome #1 ,3000000.0,Post-Program,Partner Fund,2022-07-13,2022-11-17,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,,,,,velodrome,2023-06-03 00:34:01.806006
136,Velodrome,Velodrome #2 (Tour de OP),Velodrome - Velodrome #2 (Tour de OP),0.0,During Program,Governance - Season 2,2022-11-24,0,11354810.503940135,11354810.503940135,12819881.19638306,12819881.19638306,0.0,-3000000.0,0.0,0.0,0.0,,,,12819881.19638306,12819881.19638306,,velodrome,2023-06-03 00:34:01.806006
141,Wepiggy,Wepiggy,Wepiggy,0.0,Post-Program,Governance - Phase 0,2022-08-03,2023-02-06,826338.0352703831,163586.7010219639,833137.0315352468,166784.04903293846,299686.10410874843,300009.7573070351,0.0,0.0,300008.46695783624,833137.0315352468,166784.04903293846,0.20018801556041801,,,,wepiggy,2023-06-03 00:34:01.806006
142,Xtoken,Xtoken,Xtoken,0.0,Post-Program,Governance - Season 1,2022-09-19,2023-03-21,62757.73773211846,-1261772.379255908,620580.4774185518,-961330.4449787006,897402.9716184044,1009841.3081865922,408333.32,0.0,600007.965053664,620580.4774185518,-961330.4449787006,0.0,,,,xtoken,2023-06-03 00:34:01.806006
143,Xtoken,Uniswap LM - Phase 1,Xtoken - Uniswap LM - Phase 1,16667.0,Post-Program,Governance - Phase 0,2022-10-26,2022-11-21,2002073.928217969,1010265.9367087764,2137548.590841412,1087476.3914319458,0.0,16667.0,0.0,0.0,0.0,2137548.590841412,1087476.3914319458,0.5087493197073373,,,,xtoken,2023-06-03 00:34:01.806006
144,Xtoken,Uniswap LM - Phase 2,Xtoken - Uniswap LM - Phase 2,25000.0,Post-Program,Governance - Phase 0,2023-01-16,2023-02-08,2823584.97065171,-35577.04724210254,3027949.285175804,74797.39356781589,0.0,25000.0,0.0,0.0,0.0,3027949.285175804,74797.39356781589,0.024702327061423394,,,,xtoken,2023-06-03 00:34:01.806006
145,Xtoken,Uniswap LM - Phase 3,Xtoken - Uniswap LM - Phase 3,162500.0,During Program,Governance - Phase 0,2023-05-03,2023-07-23,48041.79361266922,48041.79361266922,94793.28837326076,94793.28837326076,0.0,162500.0,0.0,0.0,0.0,,,,94793.28837326076,94793.28837326076,,xtoken,2023-06-03 00:34:01.806006
147,Yearn Finance,Yearn finance,Yearn Finance,0.0,During Program,Governance - Season 2,2023-05-18,0,-287655.9062610902,-287655.9062610902,-283594.82230406627,-283594.82230406627,0.0,0.0,0.0,0.0,0.0,,,0.0,-283594.82230406627,-283594.82230406627,,yearn finance,2023-06-03 00:34:01.806006
