,index,App Name Map,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,cumul_last_price_net_dollar_flow_at_program_end_ended,cumul_last_price_net_dollar_flow_ended,net_flows_retention,cumul_last_price_net_dollar_flow_at_program_end_live,cumul_last_price_net_dollar_flow_live,op_net_deployed
75,75,socket,0.0,0.0,0.0,0.0,27500.0,0.0,0.0,0.0,0.0,,0.0,0.0,-27500.0
76,76,sonne finance,0.0,0.0,1456.4504320543476,1456.4504320543476,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,1456.4504320543476
77,77,stargate finance,25204191.98436787,25204191.98436787,367186.0502107836,544725.73,0.0,75000.0,1000000.0,0.0,0.0,,25204191.98436787,25204191.98436787,544725.73
78,78,sushi,-1965120.145877821,-1965120.145877821,31734.46803341971,49999.99999999999,0.0,0.0,504000.0,0.0,0.0,,-1965120.145877821,-1965120.145877821,49999.99999999999
79,79,synapse,0.0,0.0,850000.0,850000.0,0.0,0.0,1000000.0,0.0,0.0,,0.0,0.0,850000.0
80,80,synpress,0.0,0.0,91886.0,91886.0,0.0,0.0,91886.0,0.0,0.0,,0.0,0.0,91886.0
81,81,synthetix,68400689.42605028,68400689.42605028,3654409.148140416,5975252.496932238,31371.4938366,177975.5,9000000.0,0.0,0.0,,68400689.42605028,68400689.42605028,5943881.003095638
82,82,tarot finance,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,0.0,0.0,,0.0,0.0,0.0
83,83,thales,-138028.9772813858,-138028.9772813858,1160224.0073297266,1163318.015354452,44292.813,1302.0,1300254.3352601156,0.0,0.0,,-138028.9772813858,-138028.9772813858,1119025.2023544519
84,84,the optimistic series,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,,0.0,0.0,0.0
85,85,uniswap,0.0,0.0,0.0,799999.98,0.0,799999.98,1000000.0,0.0,0.0,,0.0,0.0,799999.98
86,86,velodrome,297025435.1329297,297025435.1329297,5077386.054279786,2188692.8665796835,47272.0,104650.3722999,7001098.975280568,0.0,0.0,,297025435.1329297,297025435.1329297,2141420.8665796835
87,87,vesper,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.0
88,88,via protocol,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,,0.0,0.0,0.0
89,89,wardenswap,0.0,0.0,10000.0,10000.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,10000.0
90,90,wepiggy,833137.0315352468,166784.04903293846,299686.10410874826,300009.75730703503,0.0,0.0,300008.46695783624,833137.0315352468,166784.04903293846,0.20018801556041801,0.0,0.0,300009.75730703503
91,91,xtoken,5786078.353435768,200943.34002106087,384756.8490755193,426509.5369975922,408333.32,0.0,600007.965053664,5786078.353435768,200943.34002106087,0.0347287623406864,0.0,0.0,18176.216997592186
92,92,yearn,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,,0.0,0.0,0.0
93,93,zeroex (0x),0.0,0.0,27486.0,27486.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,27486.0
94,94,zipswap,0.0,0.0,2469.3580921499392,2469.3580921499392,0.0,0.0,26.43032894288744,0.0,0.0,,0.0,0.0,2469.3580921499392
