time_period,l2_gas_used,num_txs,example_contract,contract_address,creator_address,fees_eth,trace_creator_address,chain,num_addr
last 7,"43,900",1,0x9373d75d371684fa3deb8b5893abb44b1571deb7,0x9373d75d371684fa3deb8b5893abb44b1571deb7,0x1db5fd3c59e8a3723ab3f044304fdbfe6dc4aaba,0.00000026,0x1db5fd3c59e8a3723ab3f044304fdbfe6dc4aaba,Mode,1
prior 30,"65,960",1,0xeaf70bdc2de906740e5ee232989e5d9eb731b23e,0xeaf70bdc2de906740e5ee232989e5d9eb731b23e,0x4b900c8e3f9e45d2243a2d6deca02a9566c6455f,0.00000059,0x4b900c8e3f9e45d2243a2d6deca02a9566c6455f,Mode,1
prior 30,"203,859",4,0xfdc5033b6ef5dedc6b5225b3fbe3704c3f9638ee,0xfdc5033b6ef5dedc6b5225b3fbe3704c3f9638ee,0xa8979df21b6dc13935a17f9c13ec6c82942eb9f5,0.0000043267082,0xa8979df21b6dc13935a17f9c13ec6c82942eb9f5,Mode,1
prior 30,"291,225",3,0xc1e76c298b2f3c301513e539e74b74a6bb8b26d4,0xc1e76c298b2f3c301513e539e74b74a6bb8b26d4,0xe83d579ccfd323aeafc2b03405dfedff43960fa8,0.0000036,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
prior 30,"37,633,860",529,0x014ff401e25ebdf12faa6725f69b18535ccec51e,0x014ff401e25ebdf12faa6725f69b18535ccec51e,0x29447944ba24ab42204cd059e2b611fbae9035d0,0.00050642729392092,0x29447944ba24ab42204cd059e2b611fbae9035d0,Mode,504
prior 30,"43,973",1,0x165d30fdb2b2f3a1c49f9723c5b029cf4e3b7623,0x165d30fdb2b2f3a1c49f9723c5b029cf4e3b7623,0xb9af359115b2de71186a2b6aa0f9a62d7c013778,0.000000379456269044,0xb9af359115b2de71186a2b6aa0f9a62d7c013778,Mode,1
prior 30,"43,900",1,0xca4d2c68efd7b7e6022ad990f29920c7b8339d83,0xca4d2c68efd7b7e6022ad990f29920c7b8339d83,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,0.000000356749492046,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,Mode,1
last 7,"5,098,829",12,0x8eaeed6a7bf58d1ed99a0a82bec4d450b9f1f109,0x8eaeed6a7bf58d1ed99a0a82bec4d450b9f1f109,0x140713bbd82113e104c3a45661134f9764807922,0.000017,0x4e1dcf7ad4e460cfd30791ccc4f9c8a4f820ec67,Mode,3
last 7,"181,139",1,0x525ce93eb33c8f1b9015ba483c69609df10a6b40,0x525ce93eb33c8f1b9015ba483c69609df10a6b40,0x8024ba3fd9e024d5cee27b40e8930678b0fd32eb,0.00000053,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,Mode,1
last 7,"10,241,383,502","26,692",0x016e131c05fb007b5ab286a6d614a5dab99bd415,0x016e131c05fb007b5ab286a6d614a5dab99bd415,0xed5c73f229d1f085c441cac3d9d8dee9c44dd475,0.0420347210267026,0xed5c73f229d1f085c441cac3d9d8dee9c44dd475,Mode,"2,884"
last 7,"659,566",3,0x2eaf44edb2ba47d21f5cbd1b6a8746d866940dab,0x2eaf44edb2ba47d21f5cbd1b6a8746d866940dab,0xd4627ecb405b64448ee6b07dcf860bf55590c83d,0.0000038,0xd4627ecb405b64448ee6b07dcf860bf55590c83d,Mode,1
prior 30,"186,737",4,0x4dc61911cdfe95c7ecda2664bdbdd06c976247b9,0x4dc61911cdfe95c7ecda2664bdbdd06c976247b9,0x548ab054608e52da0968711ec4417021a20f90ad,0.000001546588047096,0x548ab054608e52da0968711ec4417021a20f90ad,Mode,1
last 7,"54,100",1,0x6e65f7c4177fbd1a404e120935d9006065fbde36,0x6e65f7c4177fbd1a404e120935d9006065fbde36,0x6408e1418180a372cfbecd9f6206cc9987bd44f7,0.000000556353616036,0x6408e1418180a372cfbecd9f6206cc9987bd44f7,Mode,1
prior 30,"10,116,249",2,0x053c1d91a93ebc053c14527593d397f431a28939,0x053c1d91a93ebc053c14527593d397f431a28939,0xbde3ad8d035905d5922f38a1fff7904387514ec4,0.00000360048,0xbde3ad8d035905d5922f38a1fff7904387514ec4,Mode,1
last 7,"69,803",1,0x5bf0b089bb11a542ba9b9dacdb2962daac5d87d1,0x5bf0b089bb11a542ba9b9dacdb2962daac5d87d1,0xfe4fd6562615bf449eb87a3a794b5d441b618da5,0.00000033237096,0xc02155946dd8c89d3d3238a6c8a64d04e2cd4500,Mode,1
last 7,"55,513,054",267,0xdeeb2be7e2b5a3a0c7931fa8a902c0bb2fac45d3,0xdeeb2be7e2b5a3a0c7931fa8a902c0bb2fac45d3,0x9b381507caf35ff8196a19164b9ee84a7c95b344,0.000190682387017,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,259
last 7,"484,363",12,0x611db7708cb6c2923bf695ed986a0785550a9d29,0x611db7708cb6c2923bf695ed986a0785550a9d29,0xa7c983da7bddc53215e5604606892e63c1cbe0a6,0.00000307585028,0xa7c983da7bddc53215e5604606892e63c1cbe0a6,Mode,12
prior 30,"167,340",3,0x7679c02cc5b8e2e13a13fb6041eb0a728a6066ba,0x7679c02cc5b8e2e13a13fb6041eb0a728a6066ba,0x5f6ef81421e331f65aa3d841247927acb00df77a,0.000252613763434509,0x5f6ef81421e331f65aa3d841247927acb00df77a,Mode,1
last 7,"46,387",1,0x6dd9b8f2da239c2263996549aa7a87f7ffce33cf,0x6dd9b8f2da239c2263996549aa7a87f7ffce33cf,0xf002a24224be5acdfe802531655668823dda12d1,0.000000350734547303,0xf002a24224be5acdfe802531655668823dda12d1,Mode,1
prior 30,"43,973",1,0x22a3c6b37b05a62305fe5b6942d81f962aced519,0x22a3c6b37b05a62305fe5b6942d81f962aced519,0xf00c3e699e43087a6aec6e408c990d42bd40cc0c,0.0000003400676013,0xf00c3e699e43087a6aec6e408c990d42bd40cc0c,Mode,1
prior 30,"40,275,654",215,0x50273860341bb80de359cd391bef9b2eb228753c,0x50273860341bb80de359cd391bef9b2eb228753c,0xf6a76dd2f802226a757b875af3da36b0bf5f7ec7,0.0004138189275075,0xfb926356baf861c93c3557d7327dbe8734a71891,Mode,187
prior 30,"801,136,165","8,570",0xc2211d4aa2a4adef84a12c6683e337563d44b88b,0xc2211d4aa2a4adef84a12c6683e337563d44b88b,0xed3dd2d48161af9744407f7ba7ddf78c470868aa,0.005153730032,0xed3dd2d48161af9744407f7ba7ddf78c470868aa,Mode,"2,895"
prior 30,"434,994",2,0xf2de05367e9d5a8e5e8bea939fb0ec97738e929b,0xf2de05367e9d5a8e5e8bea939fb0ec97738e929b,0xb760c967bf2a3dee2d2cbba2058fd5e539db8cf0,0.0000016,0xdce78c98a0a5abe3f0a342b32bfe43d203794dee,Mode,2
prior 30,"43,900",1,0xcdc15d2469035cfbfd7a16809515c686c7ca7a3d,0xcdc15d2469035cfbfd7a16809515c686c7ca7a3d,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,0.00000063,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,Mode,1
