excess_blob_gas,blob_base_fee_dencun,blob_base_fee_pectra
81920000,45370829006,12720878
82051072,47187563959,13058230
82182144,49077044416,13404528
82313216,51042183341,13760011
82444288,53086010137,14124920
82575360,55211675727,14499507
82706432,57422457042,14884027
82837504,59721762216,15278745
82968576,62113136037,15683930
83099648,64600264983,16099861
83230720,67186983397,16526822
83361792,69877278972,16965106
83492864,72675299071,17415014
83623936,75585357321,17876852
83755008,78611939887,18350938
83886080,81759712608,18837597
84017152,85033528101,19337162
84148224,88438433523,19849975
84279296,91979677880,20376387
84410368,95662720442,20916760
84541440,99493239091,21471463
84672512,103477138941,22040877
84803584,107620561871,22625391
84934656,111929895400,23225406
85065728,116411782893,23841334
85196800,121073133743,24473595
85327872,125921134015,25122624
85458944,130963257513,25788865
85590016,136207277287,26472774
85721088,141661277662,27174821
85852160,147333666651,27895485
85983232,153233188964,28635261
86114304,159368939457,29394655
86245376,165750377157,30174188
86376448,172387339996,30974394
86507520,179290059379,31795822
86638592,186469176870,32639033
86769664,193935759980,33504605
86900736,201701319403,34393133
87031808,209777826677,35305223
87162880,218177732948,36241502
87293952,226913987403,37202611
87425024,236000058193,38189207
87556096,245449952878,39201968
87687168,255278239247,40241587
87818240,265500069017,41308776
87949312,276131200673,42404266
88080384,287188022950,43528809
88211456,298687581585,44683173
88342528,310647604836,45868151
88473600,323086530040,47084554
88604672,336023533939,48333216
88735744,349478559982,49614991
88866816,363472351332,50930759
88997888,378026480561,52281420
89128960,393163385339,53667900
89260032,408906400461,55091149
89391104,425279796396,56552142
89522176,442308814153,58051879
89653248,460019706705,59591389
89784320,478439777382,61171727
89915392,497597422577,62793974
90046464,517522176963,64459242
90177536,538244756692,66168672
90308608,559797108269,67923436
90439680,582212456765,69724736
90570752,605525359239,71573805
90701824,629771755053,73471910
90832896,654989022933,75420353
90963968,681216037981,77420467
91095040,708493233558,79473623
91226112,736862660297,81581228
91357184,766368053206,83744726
91488256,797054898631,85965599
91619328,828970504103,88245369
91750400,862164071542,90585597
91881472,896686772975,92987887
92012544,932591829568,95453884
92143616,969934593442,97985279
92274688,1008772633075,100583805
92405760,1049165822270,103251243
92536832,1091176432088,105989420
92667904,1134869227124,108800212
92798976,1180311565524,111685545
92930048,1227573502125,114647397
93061120,1276727897243,117687795
93192192,1327850528401,120808823
93323264,1381020208810,124012619
93454336,1436318903961,127301378
93585408,1493831864907,130677354
93716480,1553647754886,134142860
93847552,1615858788857,137700269
93978624,1680560870629,141352019
94109696,1747853747662,145100612
94240768,1817841160410,148948616
94371840,1890631004707,152898667
94502912,1966335492422,156953471
94633984,2045071334253,161115808
94765056,2126959908362,165388527
94896128,2212127458126,169774558
95027200,2300705281085,174276904
95158272,2392829928261,178898650
95289344,2488643424642,183642963
95420416,2588293474898,188513092
95551488,2691933706259,193512376
95682560,2799723888775,198644238
95813632,2911830198998,203912195
95944704,3028425458262,209319856
96075776,3149689417506,214870926
96206848,3275809017870,220569207
96337920,3406978686447,226418604
96468992,3543400641991,232423125
96600064,3685285194346,238586883
96731136,3832851073235,244914102
96862208,3986325775270,251409115
96993280,4145945898447,258076373
97124352,4311957517211,264920444
97255424,4484616555993,271946016
97386496,4664189196795,279157904
97517568,4850952270158,286561047
97648640,5045193694749,294160519
97779712,5247212918104,301961525
97910784,5457321378155,309969411
98041856,5675842979349,318189662
98172928,5903114608552,326627910
98304000,6139486629038,335289937
98435072,6385323437939,344181678
98566144,6641004023512,353309223
98697216,6906922549876,362678827
98828288,7183488963260,372296908
98959360,7471129626003,382170057
99090432,7770287971592,392305037
99221504,8081425190252,402708792
99352576,8405020945159,413388451
99483648,8741574088513,424351329
99614720,9091603464668,435604937
99745792,9455648687256,447156987
99876864,9834270977469,459015392
100007936,10228054030294,471188276
100139008,10637604917517,483683980
100270080,11063554999864,496511064
100401152,11506560939586,509678317
100532224,11967305685083,523194760
100663296,12446499541796,537069652
100794368,12944881230345,551312501
100925440,13463219075643,565933063
101056512,14002312170976,580941357
101187584,14562991577442,596347663
101318656,15146121661257,612162539
101449728,15752601400676,628396817
101580800,16383365740161,645061622
101711872,17039387102786,662168370
101842944,17721676807249,679728781
101974016,18431286709791,697754886
102105088,19169310739894,716259036
102236160,19936886679226,735253907
102367232,20735197816504,754752514
102498304,21565474874800,774768216
102629376,22428997803028,795314725
102760448,23327097858253,816406118
102891520,24261159559672,838056845
103022592,25232622866635,860281741
103153664,26242985439973,883096031
103284736,27293804867123,906515345
103415808,28386701100775,930555730
103546880,29523359011241,955233654
103677952,30705530880783,980566027
103809024,31935039179014,1006570202
103940096,33213779343682,1033263996
104071168,34543722694179,1060665698
104202240,35926919545002,1088794082
104333312,37365502248176,1117668417
104464384,38861688558529,1147308487
