id,dt,name,alignment,num_l1_txs_inbox,num_l1_txs_output,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l2_num_txs_per_day,l1_gas_used_on_l2,,,,,,,,,,,,,,,,
base2023-07-24,2023-07-24 00:00:00.000 UTC,Base,OP Chain,143,24,89136552,2084316,"91,220,868.00",17546,89908104,,,,,,,,,,,,,,,,
base2023-07-18,2023-07-18 00:00:00.000 UTC,Base,OP Chain,143,24,74245832,2084280,"76,330,112.00",17035,59388524,,,,,,,,,,,,,,,,
base2023-07-21,2023-07-21 00:00:00.000 UTC,Base,OP Chain,143,25,94631624,2171142,"96,802,766.00",16606,78914304,,,,,,,,,,,,,,,,
base2023-07-25,2023-07-25 00:00:00.000 UTC,Base,OP Chain,143,23,90780764,1997478,"92,778,242.00",16204,87949744,,,,,,,,,,,,,,,,
base2023-07-17,2023-07-17 00:00:00.000 UTC,Base,OP Chain,143,24,63768152,2084292,"65,852,444.00",15791,36448908,,,,,,,,,,,,,,,,
base2023-07-26,2023-07-26 00:00:00.000 UTC,Base,OP Chain,143,25,70733688,2171214,"72,904,902.00",11396,45683952,,,,,,,,,,,,,,,,
base2023-07-27,2023-07-27 00:00:00.000 UTC,Base,OP Chain,143,26,67989884,2147028,"70,136,912.00",10528,39843476,,,,,,,,,,,,,,,,
base2023-07-28,2023-07-28 00:00:00.000 UTC,Base,OP Chain,398,25,74426420,2171190,"76,597,610.00",9241,34877052,,,,,,,,,,,,,,,,
base2023-07-13,2023-07-13 00:00:00.000 UTC,Base,OP Chain,1421,24,66370452,2084352,"68,454,804.00",811,2854836,,,,,,,,,,,,,,,,
base2023-07-11,2023-07-11 00:00:00.000 UTC,Base,OP Chain,1423,24,66416896,2084268,"68,501,164.00",52,3784456,,,,,,,,,,,,,,,,
base2023-07-12,2023-07-12 00:00:00.000 UTC,Base,OP Chain,1423,24,65601024,2084316,"67,685,340.00",31,2469796,,,,,,,,,,,,,,,,
base2023-06-29,2023-06-29 00:00:00.000 UTC,Base,OP Chain,1427,24,62396488,2084316,"64,480,804.00",19,35928,,,,,,,,,,,,,,,,
base2023-07-10,2023-07-10 00:00:00.000 UTC,Base,OP Chain,1421,24,62310320,2084304,"64,394,624.00",18,94496,,,,,,,,,,,,,,,,
base2023-06-28,2023-06-28 00:00:00.000 UTC,Base,OP Chain,1429,24,62574476,2084316,"64,658,792.00",14,945412,,,,,,,,,,,,,,,,
