blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,num_senders,num_txs,num_txs_success,last_updated,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
optimism,L2,Potential Non-Sybil,2024-08-31,1.527744570994444,1.453247401953523,174068623013,172296359573,25564,482799,468649,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
optimism,L2,Volume too Low,2024-08-31,0.15812937285644704,0.15802455120353648,5743240674,5690333933,30611,40429,40153,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
optimism,L2,Likely Sybil,2024-08-31,0.3528499134192956,0.28755317979522416,31019964122,30812058392,4946,59482,57656,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
op chains,Aggregated,Volume too Low,2024-08-31,2.156673892020784,2.1302390848370094,114070978220,109564517975,614669,973196,937075,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
op chains,Aggregated,Potential Non-Sybil,2024-08-31,10.504163474534392,9.727379843324018,814512511895,801380818702,238088,3187739,3080555,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
op chains,Aggregated,Likely Sybil,2024-08-31,2.6713798556866752,2.0989239497224714,164522211628,162767141814,111982,753041,734852,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
linea,L2,Potential Non-Sybil,2024-08-31,2.30952759952861,2.1649389602257676,29171092559,28545905283,106961,219056,216054,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
linea,L2,Volume too Low,2024-08-31,0.14234797850304048,0.14135757025936838,2028106683,2013211295,14466,19070,19017,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
linea,L2,Likely Sybil,2024-08-31,0.16648847947486525,0.16485050054830655,2070518135,2044059994,35803,51765,51638,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
l2s,Aggregated,Likely Sybil,2024-08-31,17.116845407113132,13.990836958182943,212365049886,208240840203,300837,1110135,1071939,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
l2s,Aggregated,Volume too Low,2024-08-31,3.367146444178963,3.3333198325185056,135335655502,130588460309,732347,1164921,1126153,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
l2s,Aggregated,Potential Non-Sybil,2024-08-31,23233.827521781335,20746.763677705367,1089998822900,1064661299825,443966,4513111,4338925,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
