blockchain,layer,creator_address,date,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
optimism,L2,540,2024-05-12,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,16308,2024-05-12,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-12,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,17346,2024-05-12,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7370,2024-05-12,l1s,False,,,Other EVMs,,L1s
gnosis,L1,135,2024-05-12,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,186,2024-05-12,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2068,2024-05-12,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,134,2024-05-12,celo,False,,,Other EVMs,,Celo
bnb,L1,3129,2024-05-12,bnb,False,,,Other EVMs,,BNB
base,L2,15930,2024-05-12,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,421,2024-05-12,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1373,2024-05-12,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,23946,2024-05-12,all,False,,,Other EVMs,,All
zora,L2,54,2024-05-11,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2244,2024-05-11,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,546,2024-05-11,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,17439,2024-05-11,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-11,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,18482,2024-05-11,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7390,2024-05-11,l1s,False,,,Other EVMs,,L1s
gnosis,L1,134,2024-05-11,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,192,2024-05-11,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2076,2024-05-11,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,133,2024-05-11,celo,False,,,Other EVMs,,Celo
bnb,L1,3122,2024-05-11,bnb,False,,,Other EVMs,,BNB
base,L2,17062,2024-05-11,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,427,2024-05-11,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1380,2024-05-11,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,25099,2024-05-11,all,False,,,Other EVMs,,All
zora,L2,53,2024-05-10,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2277,2024-05-10,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,552,2024-05-10,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,17844,2024-05-10,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-10,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,18898,2024-05-10,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7489,2024-05-10,l1s,False,,,Other EVMs,,L1s
gnosis,L1,139,2024-05-10,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,196,2024-05-10,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2086,2024-05-10,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,142,2024-05-10,celo,False,,,Other EVMs,,Celo
bnb,L1,3168,2024-05-10,bnb,False,,,Other EVMs,,BNB
base,L2,17468,2024-05-10,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,443,2024-05-10,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1398,2024-05-10,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,25607,2024-05-10,all,False,,,Other EVMs,,All
zora,L2,54,2024-05-09,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2310,2024-05-09,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,547,2024-05-09,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,17885,2024-05-09,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-09,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,18950,2024-05-09,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7618,2024-05-09,l1s,False,,,Other EVMs,,L1s
gnosis,L1,138,2024-05-09,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,201,2024-05-09,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2100,2024-05-09,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,159,2024-05-09,celo,False,,,Other EVMs,,Celo
bnb,L1,3217,2024-05-09,bnb,False,,,Other EVMs,,BNB
base,L2,17513,2024-05-09,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,448,2024-05-09,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1409,2024-05-09,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,25787,2024-05-09,all,False,,,Other EVMs,,All
zora,L2,59,2024-05-08,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2301,2024-05-08,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,545,2024-05-08,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,17898,2024-05-08,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-08,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,18966,2024-05-08,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7676,2024-05-08,l1s,False,,,Other EVMs,,L1s
gnosis,L1,136,2024-05-08,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,204,2024-05-08,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2088,2024-05-08,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,165,2024-05-08,celo,False,,,Other EVMs,,Celo
bnb,L1,3279,2024-05-08,bnb,False,,,Other EVMs,,BNB
base,L2,17528,2024-05-08,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,454,2024-05-08,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1415,2024-05-08,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,25854,2024-05-08,all,False,,,Other EVMs,,All
zora,L2,62,2024-05-07,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2329,2024-05-07,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,556,2024-05-07,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,17924,2024-05-07,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-07,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,18990,2024-05-07,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7747,2024-05-07,l1s,False,,,Other EVMs,,L1s
gnosis,L1,135,2024-05-07,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,213,2024-05-07,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2103,2024-05-07,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,168,2024-05-07,celo,False,,,Other EVMs,,Celo
bnb,L1,3305,2024-05-07,bnb,False,,,Other EVMs,,BNB
base,L2,17542,2024-05-07,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,452,2024-05-07,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1420,2024-05-07,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,25939,2024-05-07,all,False,,,Other EVMs,,All
zora,L2,62,2024-05-06,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2339,2024-05-06,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,561,2024-05-06,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
