blockchain,chain_id,created_dt,creator_address,last_updated
arbitrum,42161,2024-07-18 00:00:00.000 UTC,0x55c09707fd7afd670e82a62faee312903940013e,2024-08-26 03:25:22.846822
arbitrum,42161,2024-08-16 00:00:00.000 UTC,0x0103c45a16adce9438168c78206597a1c2fb9e76,2024-08-26 03:25:22.846822
polygon,137,2024-07-21 00:00:00.000 UTC,0x60703f3996f4f7a451ddd34103b75bc709feb9a9,2024-08-26 03:25:22.846822
bnb,56,2024-07-03 00:00:00.000 UTC,0xfac4f874001da85c2c4f44af7c1e65d60d7bcec3,2024-08-26 03:25:22.846822
optimism,10,2024-07-02 00:00:00.000 UTC,0xdac05f15fb965f1e7f3a6430960695f122d6d41c,2024-08-26 03:25:22.846822
bnb,56,2024-08-09 00:00:00.000 UTC,0x4b7b2c96363ece7bf649ceb62a4b11b99ca22862,2024-08-26 03:25:22.846822
ethereum,1,2024-07-08 00:00:00.000 UTC,0x0e33cc9208d82e131fc63a37c7cc364f08239a57,2024-08-26 03:25:22.846822
arbitrum,42161,2024-08-12 00:00:00.000 UTC,0xa9cd3f82707e08ad23a2a89edf49e67195f4ba2e,2024-08-26 03:25:22.846822
arbitrum,42161,2024-08-01 00:00:00.000 UTC,0xbd828074217cbadc7dc6f8b63fe2deb199bd4678,2024-08-26 03:25:22.846822
bnb,56,2024-08-08 00:00:00.000 UTC,0x000755fbe4a24d7478bfcfc1e561afce82d1ff62,2024-08-26 03:25:22.846822
polygon,137,2024-07-16 00:00:00.000 UTC,0xecca36707e08d125212610d6995ac2071f64cf90,2024-08-26 03:25:22.846822
base,8453,2024-07-21 00:00:00.000 UTC,0x20328ba6871d5e0d1cc4f90c303f14b0dd82e3d1,2024-08-26 03:25:22.846822
arbitrum,42161,2024-08-18 00:00:00.000 UTC,0xf2af3e95747694b08a5e61cb6b225fe13b638cf3,2024-08-26 03:25:22.846822
ethereum,1,2024-07-08 00:00:00.000 UTC,0xe531f9317ccc7a30590a01fc47b2bb7d63c67bb5,2024-08-26 03:25:22.846822
bnb,56,2024-08-09 00:00:00.000 UTC,0x4d41fb8eb3d61eb674c994bc9dbd5cb14733c106,2024-08-26 03:25:22.846822
base,8453,2024-07-04 00:00:00.000 UTC,0x446fa60136f3e07f5bf360b9b54dccd5b0f1aead,2024-08-26 03:25:22.846822
bnb,56,2024-07-01 00:00:00.000 UTC,0x6684955a395336d198add0ba2e4e4370ca51a807,2024-08-26 03:25:22.846822
polygon,137,2024-07-22 00:00:00.000 UTC,0x7805f52b0083ab7c831f35cdca6e220718cccb53,2024-08-26 03:25:22.846822
bnb,56,2024-08-04 00:00:00.000 UTC,0x33d4686a7228f28f47baeb889a2d835cd84809c4,2024-08-26 03:25:22.846822
base,8453,2024-08-19 00:00:00.000 UTC,0x02b1062cdbd4889d37e2aa5ad08810d3ee4d7767,2024-08-26 03:25:22.846822
bnb,56,2024-07-28 00:00:00.000 UTC,0xb8deadd2d9cb6a4a8ba29e4ae6cf002b37786202,2024-08-26 03:25:22.846822
bnb,56,2024-08-06 00:00:00.000 UTC,0x828b142130bd5bcb59a962f2f1828826d0ed64b6,2024-08-26 03:25:22.846822
polygon,137,2024-08-01 00:00:00.000 UTC,0xea32d96e4d7a7f3ed2e3884a764ca5a6fbff854f,2024-08-26 03:25:22.846822
arbitrum,42161,2024-08-09 00:00:00.000 UTC,0x40a3d162c088578bb33e57d6ef5c8b6d79566147,2024-08-26 03:25:22.846822
polygon,137,2024-07-24 00:00:00.000 UTC,0x11f47cc5d7a62928551ea9f4ebfe79356451ced1,2024-08-26 03:25:22.846822
base,8453,2024-08-03 00:00:00.000 UTC,0xe4df1f3f8e9cd35b9593a0fe4384e0dd8c672df8,2024-08-26 03:25:22.846822
base,8453,2024-08-10 00:00:00.000 UTC,0xdeeb051dfd4cb3ef898a9c3eef5742ff82b274cb,2024-08-26 03:25:22.846822
