defillama_slug,geckoId,symbol,cmcId,categories,chainId,github,twitter,url,parent,governanceID
Kadena,kadena,KDA,5647,,,['kadena-io'],kadena_io,https://www.kadena.io/,,
Vite,vite,VITE,2937,,,['vitelabs'],vitelabs,https://vite.org/,,
Milkomeda C1,,,,['EVM'],2001,['dcSpark'],Milkomeda_com,https://www.milkomeda.com/,"{'chain': 'Cardano', 'types': ['gas']}",
DFK,defi-kingdoms,JEWEL,12319,['EVM'],53935,['DefiKingdoms'],dfkchain,https://defikingdoms.com/,"{'chain': 'Avalanche', 'types': ['subnet']}",
CLV,clover-finance,CLV,8384,"['EVM', 'Parachain']",1024,['clover-network'],clv_org,https://clv.org/,"{'chain': 'Polkadot', 'types': ['parachain']}",
REI,rei-network,REI,19819,['EVM'],47805,['REI-Network'],GXChainGlobal,https://www.rei.network/,,['snapshot:rei-network.eth']
Crab,darwinia-crab-network,CRAB,9243,['EVM'],44,['darwinia-network'],,,,
Hedera,hedera-hashgraph,HBAR,4642,['EVM'],,['hashgraph'],hedera,https://hedera.com/,,
Findora,findora,FRA,4249,['EVM'],2152,['FindoraNetwork'],Findora,https://findora.org/,,
Hydra,hydra,HYDRA,8245,,,['Hydra-Chain'],,,,
Bitgert,bitrise-token,BRISE,11079,['EVM'],32520,,bitgertbrise,https://bitgert.com/,,
Reef,reef-finance,REEF,6951,"['EVM', 'Parachain']",,['reef-defi'],Reef_Chain,https://reef.io/,"{'chain': 'Polkadot', 'types': ['parachain']}",
Candle,candle,CNDL,18327,['EVM'],534,,,,,['snapshot:cndl.eth']
Bifrost,bifrost-native-coin,BNC,8705,['Parachain'],,['bifrost-finance'],BifrostFinance,https://bifrost.finance/,"{'chain': 'Kusama', 'types': ['parachain']}",
Stafi,stafi,FIS,5882,['Parachain'],,['stafihub'],StaFi_Protocol,https://www.stafi.io/,"{'chain': 'Polkadot', 'types': ['Independent']}",
Lachain,latoken,LA,2090,['EVM'],225,['LATOKEN'],0xLachain,https://lachain.io/,,
Coti,coti,COTI,3992,,,['coti-io'],COTInetwork,https://coti.io/,,
Bitcoincash,bitcoin-cash,BCH,1831,,,,,https://bch.info/en/,,
Litecoin,litecoin,LTC,2,,,['litecoin-project'],litecoin,https://litecoin.org/,,
Doge,dogecoin,DOGE,74,,,['dogecoin'],dogecoin,https://dogecoin.com/,,
Obyte,byteball,GBYTE,1492,,,['byteball'],ObyteOrg,https://obyte.org/,,
REIchain,,,,['EVM'],55555,['reichain'],,,,
OntologyEVM,ong,ONG,3217,['EVM'],58,['ontio'],OntologyNetwork,https://ont.io/,,
Carbon,switcheo,SWTH,2620,['Cosmos'],,['Switcheo'],0xcarbon,https://carbon.network/,,
Neo3,,,,,,['neo-project'],Neo_Blockchain,https://neo.org/,,
Pallete,palette,PLT,16272,['EVM'],,,,,,
Bytomsidechain,bytom,BTM,1866,['EVM'],,['Bytom'],,,,
Starcoin,starcoin,STC,10202,,,['starcoinorg'],,,,
