dt,blockchain,layer,chain_id,num_raw_txs,num_success_txs,num_qualified_txs,source,is_op_chain,op_based_version,alignment,chain_name,display_name
2024-09-27,linea,L2,59144,309467,300851,186267,dune,False,,Other EVMs,,Linea
2024-09-27,kroma,L2,255.0,95483,95344,15634,goldsky,True,modern,OP Chain,kroma,Kroma
2024-09-27,ham,L3,5112.0,73928,73797,72438,goldsky,True,modern,OP Chain,ham,Ham
2024-09-27,gnosis,L1,100,104105,95035,54528,dune,False,,Other EVMs,,Gnosis
2024-09-27,fraxtal,L2,252.0,3805,3749,1958,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-09-27,fantom,L1,250,297133,277357,185843,dune,False,,Other EVMs,,Fantom
2024-09-27,ethereum,L1,1,1201444,1175235,658372,dune,False,,Other EVMs,,Ethereum
2024-09-27,cyber,L2,7560.0,99362,99330,80117,goldsky,True,modern,OP Chain,cyber,Cyber
2024-09-27,celo,L1,42220,1249750,1225196,1187118,dune,False,,Other EVMs,,Celo
2024-09-27,bob,L2,60808.0,32298,31793,14266,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-09-27,bnb,L1,56,3907452,3737593,2952000,dune,False,,Other EVMs,,BNB
2024-09-27,blast,L2,81457,577497,569807,216018,dune,False,,Other EVMs,,Blast
2024-09-27,base,L2,8453.0,5338386,4995119,2926821,goldsky,True,modern,OP Chain,base,Base
2024-09-27,avalanche_c,L1,43114,187354,177211,133787,dune,False,,Other EVMs,,Avalanche C-Chain
2024-09-27,arbitrum,L2,42161,1799786,1603876,1315039,dune,False,,Other EVMs,,Arbitrum One
2024-09-26,zora,L2,7777777.0,101016,100774,87180,goldsky,True,modern,OP Chain,zora,Zora
2024-09-26,zksync,L2,324,205384,203322,205385,dune,False,,Other EVMs,,zkSync Era
2024-09-26,zkevm,L2,1101,11129,9957,5989,dune,False,,Other EVMs,,Polygon zkEVM
2024-09-26,swan,L2,254.0,12398,12327,11138,goldsky,True,modern,OP Chain,swan,SwanChain
2024-09-26,shape,L2,360.0,14,14,8,goldsky,True,modern,OP Chain,shape,Shape
2024-09-26,sei,L1,1329,119336,114230,71700,dune,False,,Other EVMs,,Sei Network
2024-09-26,scroll,L2,534352,330075,323071,237626,dune,False,,Other EVMs,,Scroll
2024-09-26,redstone,L2,690.0,2494,2439,2386,goldsky,True,modern,OP Chain,redstone,Redstone
2024-09-26,polynomial,L2,8008.0,391,390,389,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-09-26,polygon,L1,137,2700453,2465642,1987396,dune,False,,Other EVMs,,Polygon PoS
2024-09-26,orderly,L2,291.0,6594,6584,5195,goldsky,True,modern,OP Chain,orderly,Orderly
2024-09-26,op,L2,10.0,800232,760598,542907,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-09-26,mode,L2,34443.0,87505,85636,37092,goldsky,True,modern,OP Chain,mode,Mode
2024-09-26,mint,L2,185.0,94570,93905,90839,goldsky,True,modern,OP Chain,mint,Mint
2024-09-26,metal,L2,1750.0,13,13,12,goldsky,True,modern,OP Chain,metal,Metal
2024-09-26,mantle,L2,5000,381413,373298,258547,dune,False,,Other EVMs,,Mantle
2024-09-26,lyra,L2,957.0,7612,7611,6218,goldsky,True,modern,OP Chain,lyra,Derive
2024-09-26,lisk,L2,1135.0,564,554,471,goldsky,True,modern,OP Chain,lisk,Lisk
2024-09-26,linea,L2,59144,287618,279087,193299,dune,False,,Other EVMs,,Linea
2024-09-26,kroma,L2,255.0,138129,138092,21829,goldsky,True,modern,OP Chain,kroma,Kroma
2024-09-26,ham,L3,5112.0,71810,71714,70681,goldsky,True,modern,OP Chain,ham,Ham
2024-09-26,gnosis,L1,100,95076,87468,54336,dune,False,,Other EVMs,,Gnosis
2024-09-26,fraxtal,L2,252.0,3950,3867,1966,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-09-26,fantom,L1,250,299867,269948,178264,dune,False,,Other EVMs,,Fantom
2024-09-26,ethereum,L1,1,1149929,1112540,634488,dune,False,,Other EVMs,,Ethereum
2024-09-26,cyber,L2,7560.0,71176,71121,55497,goldsky,True,modern,OP Chain,cyber,Cyber
2024-09-26,celo,L1,42220,1303426,1254893,1195058,dune,False,,Other EVMs,,Celo
2024-09-26,bob,L2,60808.0,30421,29692,15611,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-09-26,bnb,L1,56,3743285,3603818,2881127,dune,False,,Other EVMs,,BNB
2024-09-26,blast,L2,81457,691751,681692,333564,dune,False,,Other EVMs,,Blast
2024-09-26,base,L2,8453.0,4749931,4408416,2646735,goldsky,True,modern,OP Chain,base,Base
2024-09-26,avalanche_c,L1,43114,178022,168873,126874,dune,False,,Other EVMs,,Avalanche C-Chain
2024-09-26,arbitrum,L2,42161,1928244,1719709,1358034,dune,False,,Other EVMs,,Arbitrum One
2024-09-25,zora,L2,7777777.0,95094,94868,79528,goldsky,True,modern,OP Chain,zora,Zora
2024-09-25,zksync,L2,324,207752,205189,207754,dune,False,,Other EVMs,,zkSync Era
2024-09-25,zkevm,L2,1101,10267,9554,5652,dune,False,,Other EVMs,,Polygon zkEVM
2024-09-25,swan,L2,254.0,11617,11612,10762,goldsky,True,modern,OP Chain,swan,SwanChain
2024-09-25,shape,L2,360.0,22,22,19,goldsky,True,modern,OP Chain,shape,Shape
2024-09-25,sei,L1,1329,142445,137123,85573,dune,False,,Other EVMs,,Sei Network
2024-09-25,scroll,L2,534352,318041,310847,225057,dune,False,,Other EVMs,,Scroll
2024-09-25,redstone,L2,690.0,2314,2087,2038,goldsky,True,modern,OP Chain,redstone,Redstone
2024-09-25,polynomial,L2,8008.0,347,346,344,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-09-25,polygon,L1,137,2707692,2496470,1971295,dune,False,,Other EVMs,,Polygon PoS
2024-09-25,orderly,L2,291.0,6885,6872,5383,goldsky,True,modern,OP Chain,orderly,Orderly
2024-09-25,op,L2,10.0,771577,740280,504574,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-09-25,mode,L2,34443.0,125429,123699,76661,goldsky,True,modern,OP Chain,mode,Mode
2024-09-25,mint,L2,185.0,100003,99278,95507,goldsky,True,modern,OP Chain,mint,Mint
2024-09-25,metal,L2,1750.0,13,13,12,goldsky,True,modern,OP Chain,metal,Metal
2024-09-25,mantle,L2,5000,340142,333946,231447,dune,False,,Other EVMs,,Mantle
2024-09-25,lyra,L2,957.0,5786,5780,4294,goldsky,True,modern,OP Chain,lyra,Derive
2024-09-25,lisk,L2,1135.0,358,352,310,goldsky,True,modern,OP Chain,lisk,Lisk
2024-09-25,linea,L2,59144,292828,287304,198323,dune,False,,Other EVMs,,Linea
2024-09-25,kroma,L2,255.0,165180,165125,41501,goldsky,True,modern,OP Chain,kroma,Kroma
2024-09-25,ham,L3,5112.0,75726,75638,74325,goldsky,True,modern,OP Chain,ham,Ham
2024-09-25,gnosis,L1,100,105470,99119,55541,dune,False,,Other EVMs,,Gnosis
2024-09-25,fraxtal,L2,252.0,3687,3571,1652,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-09-25,fantom,L1,250,287242,264018,191177,dune,False,,Other EVMs,,Fantom
2024-09-25,ethereum,L1,1,1150739,1117515,634548,dune,False,,Other EVMs,,Ethereum
