dt,blockchain,layer,num_qualified_txs,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
2024-03-20,polygon,L1,4498076.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-20,optimism,L2,492956.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-20,mode,L2,104299.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-20,gnosis,L1,167661.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-20,fraxtal,L2,8531.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-20,fantom,L1,145551.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-20,ethereum,L1,756358.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-20,celo,L1,274661.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-20,bnb,L1,3115958.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-20,blast,L2,193275.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-20,base,L2,927502.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-20,avalanche_c,L1,268711.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-20,arbitrum,L2,1252467.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-19,zora,L2,74160.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-19,zksync,L2,1146312.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-19,scroll,L2,209280.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-19,polygon,L1,4642536.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-19,optimism,L2,497277.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-19,mode,L2,106705.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-19,gnosis,L1,170974.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-19,fraxtal,L2,8829.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-19,fantom,L1,161161.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-19,ethereum,L1,777372.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-19,celo,L1,297857.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-19,bnb,L1,3349662.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-19,blast,L2,179368.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-19,base,L2,781426.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-19,avalanche_c,L1,336746.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-19,arbitrum,L2,1169507.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-18,zora,L2,86230.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-18,zksync,L2,1123278.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-18,scroll,L2,245020.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-18,polygon,L1,4517304.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-18,optimism,L2,443097.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-18,mode,L2,97807.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-18,gnosis,L1,123385.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-18,fraxtal,L2,8898.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-18,fantom,L1,133667.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-18,ethereum,L1,711261.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-18,celo,L1,250036.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-18,bnb,L1,2847607.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-18,blast,L2,175401.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-18,base,L2,786257.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-18,avalanche_c,L1,314216.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-18,arbitrum,L2,853437.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-17,zora,L2,92338.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-17,zksync,L2,1296362.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-17,scroll,L2,303158.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-17,polygon,L1,4236424.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-17,optimism,L2,372662.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-17,mode,L2,87804.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-17,gnosis,L1,160150.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-17,fraxtal,L2,8805.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-17,fantom,L1,106912.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-17,ethereum,L1,647490.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-17,celo,L1,218809.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-17,bnb,L1,2745092.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-17,blast,L2,170776.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-17,base,L2,751685.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-17,avalanche_c,L1,287171.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-17,arbitrum,L2,707660.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-16,zora,L2,94292.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
