layer,name,chainId,explorerUrl,category,slug,isArchived,file_name,rpcUrl,provider,hostChain,da_provider_name,badges,is_upcoming,is_archived,is_current_chain,websites,documentation,repositories,provider_entity,chain
L2,Patex Network,,,Optimistic Rollup,patex,,patex,https://rpc.patex.io/,,,,,False,False,True,'https://patex.io/network','https://docs.patex.io/tech/patex-network','https://github.com/patex-ecosystem/patex-network',,patex
L2,Payy,,,ZK Rollup,payy,,payy,,,,,,True,False,False,'https://payy.network/','https://payy.network/docs','https://github.com/polybase/payy',,payy
L2,PlayChain,,,Validium,playchain,,playchain,,ZK Stack,,,,True,False,False,'https://playfi.ai/','https://docs.playfi.ai/','https://github.com/playFi-Labs',zkSync: ZK Stack,playchain
L2,Plume Network,,,Optimistic Rollup,plumenetwork,,plumenetwork,,Arbitrum,,,,True,False,False,'https://plumenetwork.xyz/','https://docs.plumenetwork.xyz/plume',,Arbitrum: Orbit,plumenetwork
L2,Polygon Miden,,,ZK Rollup,polygon-miden,,polygonmiden,,Polygon,,,,True,False,False,'https://polygon.technology/polygon-miden',"'https://0xpolygonmiden.github.io/miden-base/introduction.html',",'https://github.com/0xPolygonMiden',Polygon: CDK,polygon-miden
L2,Polygon PoS 2.0,,,Validium,polygon-pos-2,,polygonpos2,,Polygon,,,,True,False,False,'https://polygon.technology','https://wiki.polygon.technology/','https://github.com/maticnetwork/',Polygon: CDK,polygon-pos-2
L2,Polygon zkEVM,1101,https://zkevm.polygonscan.com,Funds can be lost if,polygonzkevm,,polygonzkevm,,Polygon CDK,,,,False,False,True,'https://polygon.technology/polygon-zkevm',"'https://wiki.polygon.technology/docs/zkEVM/introduction',",'https://github.com/0xPolygonHermez',Polygon: CDK,polygonzkevm
L2,Public Goods Network,,,,publicgoodsnetwork,,publicgoodsnetwork,https://rpc.publicgoods.network,OP Stack,,,"Badge.DA.Celestia, Badge.Infra.Superchain, Badge.RaaS.Conduit",False,False,True,'https://publicgoods.network/','https://docs.publicgoods.network/',"'https://github.com/supermodularxyz/pgn-monorepo',
        'https://github.com/supermodularxyz/pgn-docs',",Optimism: OP Stack,publicgoodsnetwork
L2,Re.al,111188,https://explorer.re.al,,real,,real,https://real.drpc.org,Arbitrum Orbit,,,"Badge.DA.DAC, Badge.RaaS.Gelato",False,False,True,'https://re.al','https://docs.re.al/','https://github.com/re-al-Foundation',Arbitrum: Orbit,real
L2,RedSonic,,,Validium,reddioex,,reddioex,,StarkEx,,,"Badge.VM.AppChain,
    Badge.DA.DAC,
    Badge.Stack.StarkEx,
    Badge.Infra.SHARP,",False,False,True,'https://reddio.com/','https://docs.reddio.com/','https://github.com/reddio-com/starkex-contracts-source',Starkware: Starknet Stack,reddioex
L2,Reddio zkVM,,,ZK Rollup,reddiozkvm,,reddiozkvm,,Starknet,,,,False,False,True,'https://reddio.com',"'https://docs.reddio.com/guide/starknet/smart-contracts/overview.html',",'https://github.com/reddio-com/starknet-appchain-utils',Starkware: Starknet Stack,reddiozkvm
L2,Redstone,,,Funds can be stolen if,redstone,,redstone,https://rpc.redstonechain.com,OP Stack,,RedstoneDA,Badge.DA.CustomDA,False,False,True,'https://redstone.xyz/','https://redstone.xyz/docs','https://github.com/latticexyz/redstone',Optimism: OP Stack,redstone
L2,Reya,1729,https://explorer.reya.network,,reya,,reya,https://rpc.reya.network,Arbitrum Orbit,,,"Badge.DA.DAC, Badge.RaaS.Gelato",False,False,True,'https://reya.network/','https://docs.reya.network/','https://github.com/Reya-Labs',Arbitrum: Orbit,reya
