date,chain,layer,defillama_slug,source,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,chainId,tvl_min,tvl_last,tvl_mean,distinct_protocol_min,distinct_protocol_last,distinct_protocol_mean,distinct_parent_protocol_min,distinct_parent_protocol_last,distinct_parent_protocol_mean,sum_token_value_usd_flow_sum,sum_token_value_usd_price_change_sum
2021-08-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,4971853492.393803,5136174349.060037,5658692985.825032,,,,,,,0.0,0.0
2021-09-01,Arbitrum,L2,Arbitrum,chain,False,,,Other EVMs,,,42161,8167686.102093918,962975143.4722732,617007589.7037724,,,,,,,0.0,0.0
2021-09-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,1748206353.0903661,3331087859.9290566,2368284920.3406386,,,,,,,0.0,0.0
2021-09-01,Aztec,L2,protocols/aztec,protocol,False,,,Other EVMs,,,-1,996860.67235,2142594.76844,1353627.0725343334,,,,,,,0.0,0.0
2021-09-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,11724518017.692337,12420385136.997625,13447550777.072908,,,,,,,0.0,0.0
2021-09-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,554058469.9004586,883050690.9840727,761904256.4189186,,,,,,,0.0,0.0
2021-09-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-09-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,72444410736.91386,77005896689.98166,80399415811.97667,,,,,,,0.0,0.0
2021-09-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,708799866.6515982,1129089609.3247395,976924991.6737021,,,,,,,0.0,0.0
2021-09-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,44216957.26432817,50642290.95120955,47558537.70520421,,,,,,,0.0,0.0
2021-09-01,ImmutableX,L2,protocols/immutablex,protocol,False,,,Other EVMs,,,-1,3417644.83888,4842750.91396,3802204.5026441664,,,,,,,0.0,0.0
2021-09-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-09-01,OP Mainnet,L2,Optimism,chain,True,10,modern,OP Chain,op,OP Mainnet,10,96430137.9596717,103348046.18530212,111698278.75026809,3.0,3.0,3.0,3.0,3.0,3.0,12663172.233663725,-14983409.414733713
2021-09-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,3672330429.1405897,3987063415.868783,4337991642.994869,,,,,,,0.0,0.0
2021-10-01,Arbitrum,L2,Arbitrum,chain,False,,,Other EVMs,,,42161,989702217.7103282,2400358287.6736817,1641948911.3801055,,,,,,,0.0,0.0
2021-10-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,3455186850.035839,7395493228.29982,5832822277.045798,,,,,,,0.0,0.0
2021-10-01,Aztec,L2,protocols/aztec,protocol,False,,,Other EVMs,,,-1,2511671.45607,4928229.43405,3991921.8802574193,,,,,,,0.0,0.0
2021-10-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,12669069385.950993,14740046598.1262,14125129057.369804,,,,,,,0.0,0.0
2021-10-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,807211087.3026419,1008678495.6826422,947896123.1484313,,,,,,,0.0,0.0
2021-10-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-10-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,80666311211.01633,94979846859.69284,90281929048.76575,,,,,,,0.0,0.0
2021-10-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,1179347159.6373258,4396527800.20989,3758968087.3197722,,,,,,,0.0,0.0
2021-10-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,48159246.859415896,57951603.16498286,54391842.570779584,,,,,,,0.0,0.0
2021-10-01,ImmutableX,L2,protocols/immutablex,protocol,False,,,Other EVMs,,,-1,5501752.71799,93664078.68205,24894517.41859968,,,,,,,0.0,0.0
2021-10-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-10-01,OP Mainnet,L2,Optimism,chain,True,10,modern,OP Chain,op,OP Mainnet,10,96426624.97582513,257673670.4478038,122039912.54777637,3.0,3.0,3.0,3.0,3.0,3.0,150769518.598403,1670808.1027370207
2021-10-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,3953435123.264064,4457289102.656982,4216092126.1013823,,,,,,,0.0,0.0
2021-11-01,Arbitrum,L2,Arbitrum,chain,False,,,Other EVMs,,,42161,1910143241.8334794,1965304676.183953,2341167234.9783926,,,,,,,0.0,0.0
2021-11-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,7336104532.992487,11425970805.890669,9434529684.803612,,,,,,,0.0,0.0
2021-11-01,Aztec,L2,protocols/aztec,protocol,False,,,Other EVMs,,,-1,4959191.49922,7091065.44138,5761301.179939667,,,,,,,0.0,0.0
2021-11-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,14099293371.354546,14774884702.565836,15201046655.164501,,,,,,,0.0,0.0
2021-11-01,Boba,L2,Boba,chain,False,288,legacy ovm,OP Stack fork,boba,Boba,288,2411118.963008488,447250396.92725873,291628217.0364463,,,,,,,0.0,0.0
2021-11-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,769908875.6865132,824102330.862744,947494982.3200223,,,,,,,0.0,0.0
2021-11-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-11-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,96373978247.89221,105917134488.84549,103074569229.97319,,,,,,,0.0,0.0
2021-11-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,3279083015.179881,3518007953.6416416,3908340551.015686,,,,,,,0.0,0.0
2021-11-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,53965434.44387592,68969158.87334836,59453214.725696184,,,,,,,0.0,0.0
2021-11-01,ImmutableX,L2,protocols/immutablex,protocol,False,,,Other EVMs,,,-1,78575366.86768001,128400273.9887,97798145.84082334,,,,,,,0.0,0.0
2021-11-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-11-01,Metis,L2,Metis,chain,False,1088,legacy ovm,OP Stack fork,metis,Metis,1088,399654.2575622118,399654.2575622118,399654.2575622118,,,,,,,0.0,0.0
2021-11-01,OP Mainnet,L2,Optimism,chain,True,10,modern,OP Chain,op,OP Mainnet,10,259880961.51717877,366145199.4167208,320407023.50605744,3.0,10.0,6.3,3.0,10.0,6.3,107024357.4590464,-53789969.6623664
2021-11-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,3927800675.575641,4465775322.01368,4361670827.847612,,,,,,,0.0,0.0
2021-12-01,Arbitrum,L2,Arbitrum,chain,False,,,Other EVMs,,,42161,1651213125.1158695,1677430058.637462,1771530247.3620515,,,,,,,0.0,0.0
2021-12-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,8666952242.508184,9486076376.490927,9889161911.460524,,,,,,,0.0,0.0
