blockchain,layer,chain_id,creator_address,dt,is_op_chain,op_based_version,alignment,chain_name,display_name
all,Aggregate,-1,10737,2024-07-23,False,,Aggregate,,All
zora,L2,7777777,38,2024-07-22,True,modern,OP Chain,zora,Zora
polygon,L1,137,1838,2024-07-22,False,,Other EVMs,,Polygon PoS
optimism,L2,10,512,2024-07-22,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3845,2024-07-22,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-22,False,,Aggregate,,L3s
l2,Aggregate,-1,4777,2024-07-22,False,,Aggregate,,L2s
l1,Aggregate,-1,6638,2024-07-22,False,,Aggregate,,L1s
gnosis,L1,100,115,2024-07-22,False,,Other EVMs,,Gnosis
fantom,L1,250,134,2024-07-22,False,,Other EVMs,,Fantom
ethereum,L1,1,2446,2024-07-22,False,,Other EVMs,,Ethereum
celo,L1,42220,92,2024-07-22,False,,Other EVMs,,Celo
bnb,L1,56,2474,2024-07-22,False,,Other EVMs,,BNB
base,L2,8453,3544,2024-07-22,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,363,2024-07-22,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1312,2024-07-22,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10737,2024-07-22,False,,Aggregate,,All
zora,L2,7777777,38,2024-07-21,True,modern,OP Chain,zora,Zora
polygon,L1,137,1808,2024-07-21,False,,Other EVMs,,Polygon PoS
optimism,L2,10,508,2024-07-21,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3748,2024-07-21,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-21,False,,Aggregate,,L3s
l2,Aggregate,-1,4667,2024-07-21,False,,Aggregate,,L2s
l1,Aggregate,-1,6571,2024-07-21,False,,Aggregate,,L1s
gnosis,L1,100,113,2024-07-21,False,,Other EVMs,,Gnosis
fantom,L1,250,129,2024-07-21,False,,Other EVMs,,Fantom
ethereum,L1,1,2427,2024-07-21,False,,Other EVMs,,Ethereum
celo,L1,42220,88,2024-07-21,False,,Other EVMs,,Celo
bnb,L1,56,2458,2024-07-21,False,,Other EVMs,,BNB
base,L2,8453,3446,2024-07-21,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,356,2024-07-21,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1291,2024-07-21,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10562,2024-07-21,False,,Aggregate,,All
zora,L2,7777777,38,2024-07-20,True,modern,OP Chain,zora,Zora
polygon,L1,137,1815,2024-07-20,False,,Other EVMs,,Polygon PoS
optimism,L2,10,512,2024-07-20,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3650,2024-07-20,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-20,False,,Aggregate,,L3s
