,Contract Address,Contract Num By Creator,Contract Project,Creator Address,Days Since Contract Created,Days Since Creator First Deployed,Dt,Median Calldata Gas To W Overhead Per Day,Median Eth Fees To Per Day,Median Num Address Users Trace,Median Num Address Users Tx,Median Num Txs Trace,Median Num Txs Tx,Median Trace L2 Eth Fees Per Day,Median Trace Tx Eth Fees Per Day,Total Calldata Gas To W Overhead T28D,Total Eth Fees To T28D,Total Trace L2 Eth Fees T28D,Total Trace L2 Gas Used T28D,Total Trace Tx Eth Fees T28D,Last Updated
193,0xd1cb03cc31caa72d34dba7ebe21897d9580c4af0,37,Chainlink,0x83bc3055649f9a829bebeccbc86e090d6a157161,470,491,2023-05-09 00:00:00.000,0,0.0,1086,0,4964,0,0.0,0.0394634699244227,0,0.0,4.173889349999999e-05,9380760,1.2085625566899545,2023-05-10 21:13:47.048476+00:00
194,0x16a9fa2fda030272ce99b29cf780dfa30361e0f3,38,Chainlink,0x83bc3055649f9a829bebeccbc86e090d6a157161,470,491,2023-05-09 00:00:00.000,0,0.0,1085,0,4963,0,0.0001987841619291,0.0391786242251603,0,0.0,0.0066670467627305,5010999421,1.1927550199562793,2023-05-10 21:13:47.048476+00:00
195,0x9c215206da4bf108ae5aeef9da7cad3352a36dad,12,Angle,0xfda462548ce04282f4b6d6619823a7c64fdc0185,305,326,2023-05-09 00:00:00.000,0,0.0,269,0,653,0,1.8008725184743e-05,0.0409470037063877,0,0.0,0.0004567078538618,388773642,1.1912830218705115,2023-05-10 21:13:47.048476+00:00
196,0xd24b8feeea13a0ecce247e37e8ad1a0b2620fc5b,739,Perpetual Protocol,0x849a19c0746fb0d335e02dec0d0b3e057e585176,27,531,2023-05-09 00:00:00.000,0,0.0,280,0,17837,0,0.0014276574417139,0.0402513267409318,0,0.0,0.0435809660330871,32344651693,1.1835602513809134,2023-05-10 21:13:47.048476+00:00
197,0x350e44fc8d033ab9cd5f832288f0c8f0ceed795f,6,Firebird Finance,0xc5584892f5b81c58d0547891641a91c245c26209,152,306,2023-05-09 00:00:00.000,0,0.0,79,0,115,0,0.0003709985066963,0.0455982933398471,0,0.0,0.0089345171496555,8147417566,1.1653823524391056,2023-05-10 21:13:47.048476+00:00
198,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,1,Hop Protocol,0x9aa99c23f67c81701c772b106b4f83f6e858dd2e,225,225,2023-05-09 00:00:00.000,0,0.0,117,0,334,0,0.0,0.0339161732591569,3231812,0.0999503340847123,0.0,0,1.0638101345802502,2023-05-10 21:13:47.048476+00:00
199,0x01e9b35785ef3f7ef2677c371442976bd550f320,16,Mummy Finance,0x30b12942912cee5a719edec2dd147224fcc373a0,68,68,2023-05-09 00:00:00.000,0,0.0,257,0,479,0,0.0002105300361038,0.0321706436567106,0,0.0,0.0089303453953953,2665544544,1.1468001957285707,2023-05-10 21:13:47.048476+00:00
200,0x451f4594e12ac35929a909ce32fc6afd3eb7e50c,2,Biconomy - Hyphen,0xdc0d4bdcc70362cedd23d3997c31528ec1502fc4,330,330,2023-05-09 00:00:00.000,0,0.0,292,0,757,0,0.0,0.0268279348230582,0,0.0,0.0,0,1.134745426661294,2023-05-10 21:13:47.048476+00:00
201,0x4c5ccff7fa764ce150f07dd9ec9805a7c9260be1,4,Biconomy - Hyphen,0xdc0d4bdcc70362cedd23d3997c31528ec1502fc4,330,330,2023-05-09 00:00:00.000,0,0.0,292,0,757,0,6.947599945747982e-06,0.0268279348230582,0,0.0,0.0002740463588747,251629676,1.1347454266612935,2023-05-10 21:13:47.048476+00:00
202,0x76d3030728e52deb8848d5613abade88441cbc59,27,Aave,0x4365f8e70cf38c6ca67de41448508f2da8825500,245,428,2023-05-09 00:00:00.000,500044,0.0234432975137734,79,78,104,103,9.4501592165e-06,0.0151310613010302,17424000,0.6875369915704057,0.0003155334419495,268743652,0.4421210607487717,2023-05-10 21:13:47.048476+00:00
203,0xe1fdaefe7531bfeaf7d9ba5497c675adcb05837f,716,Perpetual Protocol,0x849a19c0746fb0d335e02dec0d0b3e057e585176,39,531,2023-05-09 00:00:00.000,0,0.0,99,0,2919,0,0.0002725639795449,0.0366229535472593,0,0.0,0.0083014633045215,5677343614,1.1243896080709537,2023-05-10 21:13:47.048476+00:00
204,0x0ed2ab0efca649fc0dab6251580884c10f474245,27,Slingshot,0x44045fd5d3840fec51b76fb6a87cbcda735a8629,267,523,2023-05-09 00:00:00.000,0,0.0,369,0,506,0,1.5331237800000045e-05,0.0373569912336432,0,0.0,0.0004505357156603,445852407,1.110210308741035,2023-05-10 21:13:47.048476+00:00
