block_date,chain_id,total_len_encoded_transaction,average_len_encoded_transaction,transaction_count,total_len_compressed_transaction,average_len_compressed_transaction,total_estimatedSize,average_estimatedSize,chain_name
2024-06-03,252.0,2598585,797.3565510892912,3259,1186407,364.04019637925745,863432.1103000001,264.9377447990181,fraxtal
2024-06-02,252.0,2055985,698.1273344651952,2945,996711,338.44176570458404,722459.0804,245.31717500848896,fraxtal
2024-06-01,252.0,2892945,886.8623543838136,3262,1432176,439.0484365419988,1080361.0338,331.19590245248315,fraxtal
2024-05-31,252.0,2578688,803.3295950155763,3210,1258302,391.99439252336447,926804.4583,288.7241303115265,fraxtal
2024-05-30,252.0,1553274,675.9242819843342,2298,776325,337.82637075718014,559463.556,243.45672584856396,fraxtal
2024-05-29,252.0,2050793,910.2498890368398,2253,995236,441.7381269418553,742228.1263,329.43991402574346,fraxtal
2024-05-28,252.0,3259422,558.0246533127889,5841,1772041,303.3797294983736,1300028.8498,222.56956853278547,fraxtal
2024-05-27,252.0,4379734,976.3116362015159,4486,2173360,484.47614801604993,1646169.5978,366.95711052162284,fraxtal
2024-05-26,252.0,4121634,1035.586432160804,3980,2113138,530.9391959798995,1608257.7584,404.084863919598,fraxtal
2024-05-25,252.0,3326275,746.6386083052749,4455,1797812,403.5492704826038,1329991.4217,298.53903966329966,fraxtal
2024-05-24,252.0,10544863,1178.8555617663499,8945,5170730,578.0581330352152,3969372.8256,443.7532504863052,fraxtal
2024-05-23,252.0,10003479,1044.8588886567788,9574,5011331,523.4312721955296,3812330.8391,398.1962439001462,fraxtal
2024-05-22,252.0,9477461,963.5482919886133,9836,4823027,490.3443472956486,3640730.5215,370.14340397519317,fraxtal
2024-05-21,252.0,7066556,760.8264427217915,9288,4107619,442.25010766580533,3059445.0141,329.3976113372093,fraxtal
2024-05-20,252.0,6310151,934.8371851851851,6750,3375993,500.1471111111111,2556470.1064999998,378.736312074074,fraxtal
2024-05-19,252.0,7632603,713.0608183856502,10704,4210958,393.4004110612855,3171482.4073,296.2894625653961,fraxtal
2024-05-18,252.0,6660428,467.72668539325844,14240,4375057,307.2371488764045,3228014.1393,226.68638618679773,fraxtal
2024-05-17,252.0,3294274,359.6761655202533,9159,2136461,233.26356589147287,1545259.0048,168.71481655202533,fraxtal
2024-05-16,252.0,1822023,592.1426714332142,3077,1066554,346.62138446538836,783611.9644,254.66752174195648,fraxtal
2024-05-15,252.0,1454092,688.816674561819,2111,775742,367.47607768829937,564266.5705,267.29823330175276,fraxtal
2024-05-14,252.0,1627368,670.2504118616145,2428,874867,360.32413509060956,634517.1017,261.3332379324547,fraxtal
2024-05-13,252.0,1361442,600.0185103569854,2269,740445,326.3309828118114,528534.3112,232.93711379462317,fraxtal
2024-05-12,252.0,1302212,618.0408163265306,2107,703717,333.99003322259136,506366.96510000003,240.32603943996205,fraxtal
2024-05-11,252.0,1642028,666.948822095857,2462,871797,354.1011372867587,632594.4809,256.94333099106416,fraxtal
2024-05-10,252.0,1806986,625.4710972654898,2889,949610,328.6985115957079,682799.2264,236.34448819660784,fraxtal
