,from_link,from_name,funding_sources,op_approved_to_project,op_claimed,op_deployed,op_from_other_projects,op_incoming_clawback,op_to_project,p1,p2,p3,pct_allocated_approved,pct_approved_to_project,pct_claimed_to_project,pct_deployed_claimed,pct_to_project_deployed,program_status,proposal_links,total_op_allocated,last_updated
35,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Tally%20Ho"" target=""_blank"">Tally Ho</a>",Tally Ho,Governance - Season 2,0.0,0,0,0,0,0,|,|,|,,,,,,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xf44f4767df0341611940e74316ff1aa5047761f04a97eb9681aa96b8c71da75a"" target=""_blank"">Link</a>",400000,2023-02-14 11:50:30.086732+00:00
36,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=dHedge"" target=""_blank"">dHedge</a>",dHedge,Governance - Season 2,350000.0,167031,90996,0,0,352907,|,|,|,1.0,1.0083057142857144,0.4733003312487426,1.8355861796122908,0.2578469681814189,Live Program,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x0286e35a8799d3cf0c84784cd54debae258177b0c31408a48dc00c69b8d4a010"" target=""_blank"">Link</a>",350000,2023-02-14 11:50:30.086732+00:00
37,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=dForce"" target=""_blank"">dForce</a>",dForce,Governance - Season 1,300000.0,428759,427500,0,0,300004,|,|,|,1.0,1.0000133333333334,1.429177610965187,1.0029450292397661,1.4249810002533299,Live Program,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-dforce/2420"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
38,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=WePiggy"" target=""_blank"">WePiggy</a>",WePiggy,Governance - Phase 0,300000.0,299290,421037,0,0,300008,|,|,|,1.0,1.0000266666666666,0.997606730487187,0.7108401399401952,1.4034192421535425,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-wepiggy/437/5"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
39,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Layer2dao"" target=""_blank"">Layer2dao</a>",Layer2dao,Governance - Phase 0,300674.0,330462,330462,0,0,300674,|,|,|,1.0022466666666667,1.0,1.0990707543718445,1,1.0990707543718445,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-layer2dao/1198/8"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
40,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=1inch"" target=""_blank"">1inch</a>",1inch,Governance - Phase 0,300000.0,23621,300000,0,0,300000,|,|,|,1.0,1.0,0.07873666666666666,0.07873666666666666,1,Completed,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-1inch-network/655"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
41,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Clipper"" target=""_blank"">Clipper</a>",Clipper,Governance - Phase 0,300000.0,152574,177934,0,0,300000,|,|,|,1.0,1.0,0.50858,0.8574752436296604,0.5931133333333334,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-clipper/1322/7"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
42,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Slingshot"" target=""_blank"">Slingshot</a>",Slingshot,Governance - Phase 0,300000.0,123385,134336,0,0,300000,|,|,|,1.0,1.0,0.41128333333333333,0.9184805264411624,0.44778666666666667,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-slingshot/1326"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
43,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Hundred%20Finance"" target=""_blank"">Hundred Finance</a>",Hundred Finance,Governance - Season 1,300000.0,118183,119320,0,0,300000,|,|,|,1.0,1.0,0.3939433333333333,0.9904710023466309,0.3977333333333333,Live Program,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-hundred-finance/2733"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
44,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=DefiLlama"" target=""_blank"">DefiLlama</a>",DefiLlama,Governance - Season 2,300000.0,63676,63676,0,0,300000,|,|,|,1.0,1.0,0.21225333333333332,1,0.21225333333333332,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xe97adad42eb8c0072edee33de2c68191cd2e8a0ae615ab94ebb60bdc73a7d3f2"" target=""_blank"">Link</a>",300000,2023-02-14 11:50:30.086732+00:00
