month,name_mapped,transactions_per_month,transactions_per_day,costs_total_eth_per_month,costs_total_eth_per_day,fees_paid_eth_per_month,fees_paid_eth_per_day,profit_eth_per_month,profit_eth_per_day,gas_per_second,app_tvl_usd_latest,app_tvl_usd_average,total_assets_onchain_usd_latest,total_assets_onchain_usd_average,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_ethereum_ecosystem
2023-08-01,OKTChain,,,,,,,,,,28035697.8926429,29023816.74299432,,,66.0,,,,,,,,False
2023-07-01,Filecoin,,,,,,,,,,3288085.5952483416,3101032.323381071,,,,,,,,,,,False
2024-10-01,Filecoin,,,,,,,,,,55584489.071467996,56744673.045374446,,,,,,,,,,,False
2022-10-01,Canto,,,,,,,,,,118437174.08578397,81858452.12057446,,,,,,,,,,,False
2022-11-01,Canto,,,,,,,,,,76611869.03993326,103790573.22546601,,,,,,,,,,,False
2024-01-01,Canto,,,,,,,,,,57047299.636988156,60840855.8769839,,,,,,,,,,,False
2024-03-01,Canto,,,,,,,,,,49939257.66451833,40708753.0512073,,,,,,,,,,,False
2022-06-01,Astar,,,,,,,,,,50153038.26986984,83034729.43714364,,,592.0,,,,,,,,False
2022-08-01,Astar,,,,,,,,,,39732069.71055916,45290759.706785865,,,592.0,,,,,,,,False
2023-04-01,Astar,,,,,,,,,,34916665.63244496,38945849.331761114,,,592.0,,,,,,,,False
2024-02-01,Astar,,,,,,,,,,60744360.38369305,63510726.208153315,,,592.0,,,,,,,,False
2024-03-01,Astar,,,,,,,,,,47602311.44490917,52232278.22257277,,,592.0,,,,,,,,False
2024-05-01,Astar,,,,,,,,,,31351085.02059432,32836705.37124164,,,592.0,,,,,,,,False
2024-10-01,Astar,,,,,,,,,,19347001.797372572,20495278.66166648,,,592.0,,,,,,,,False
2021-06-01,Secret,,,,,,,,,,20395725.233584456,29572365.44839747,,,,,,,,,,,False
2021-12-01,Secret,,,,,,,,,,46821461.894386366,54080023.78622334,,,,,,,,,,,False
2022-06-01,Secret,,,,,,,,,,10398215.859355533,13231948.258133942,,,,,,,,,,,False
2022-11-01,Secret,,,,,,,,,,5239458.586349613,5851906.892220653,,,,,,,,,,,False
2023-04-01,Secret,,,,,,,,,,12142169.818050139,6934700.876993034,,,,,,,,,,,False
2024-03-01,Secret,,,,,,,,,,31078647.335484374,31464139.974706627,,,,,,,,,,,False
2024-11-01,Secret,,,,,,,,,,11424423.301061362,11208658.890474936,,,,,,,,,,,False
2021-11-01,Sifchain,,,,,,,,,,47172707.51,41532363.55766666,,,,,,,,,,,False
2022-01-01,Sifchain,,,,,,,,,,38528445.84,56206150.30258064,,,,,,,,,,,False
2023-07-01,Sifchain,,,,,,,,,,7088.389127190159,8891.206760110266,,,,,,,,,,,False
2024-07-01,Sifchain,,,,,,,,,,11237.793543421883,12160.423655582481,,,,,,,,,,,False
2024-08-01,Sifchain,,,,,,,,,,11893.003480657644,10103.486480436059,,,,,,,,,,,False
2023-09-01,Sui,,,,,,,,,,34293582.75298718,26237019.847851563,,,,,,,,,,,False
2024-03-01,Sui,,,,,,,,,,674892540.9925716,586287019.2799143,,,,,,,,,,,False
2021-09-01,Waves,,,,,,,,,,1571411667.116878,1606795698.82708,,,,,,,,,,,False
2022-05-01,Sora,,,,,,,,,,8900311.76803712,9190673.511670087,,,,,,,,,,,False
2022-08-01,Sora,,,,,,,,,,3127812.12,3495352.6439778875,,,,,,,,,,,False
2024-03-01,Sora,,,,,,,,,,485962.0,480334.0951612907,,,,,,,,,,,False
2024-09-01,Sora,,,,,,,,,,303634.3599999999,269643.9336666667,,,,,,,,,,,False
2023-08-01,Juno,,,,,,,,,,992185.2973893393,1256639.0215043444,,,,,,,,,,,False
2023-11-01,Juno,,,,,,,,,,1496846.0732231103,1607884.259586864,,,,,,,,,,,False
2024-07-01,Juno,,,,,,,,,,439649.30567245756,467523.9699945635,,,,,,,,,,,False
2024-08-01,Juno,,,,,,,,,,365987.2526527656,380595.82773198513,,,,,,,,,,,False
2022-01-01,Ubiq,,,,,,,,,,696888.4600993579,816805.7457761347,,,8.0,,,,,,,,False
2022-07-01,Ubiq,,,,,,,,,,294443.5037976884,254081.01277686952,,,8.0,,,,,,,,False
2023-05-01,Ubiq,,,,,,,,,,183235.5683353629,203886.17229825316,,,8.0,,,,,,,,False
2023-07-01,Ubiq,,,,,,,,,,93194.00948088782,141400.0010092449,,,8.0,,,,,,,,False
