name_mapped,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_defillama,is_growthepie,is_l2beat,is_ethereum_ecosystem
Degen Chain,,L3,NotApplicable,"['Universal', 'Social']",Conduit,Orbit,DAC,,False,False,True,True
RARI Chain,,L3,NotApplicable,"['Universal', 'NFT']",Caldera,Orbit,DAC,,False,False,True,True
Metal,,L2,Stage 0,['Universal'],Conduit,OPStack,EthereumBlobs,Superchain,False,False,True,True
Everclear Hub,,L2,NotApplicable,"['Universal', 'Interoperability']",Gelato,Orbit,DAC,,False,False,True,True
Hypr,,L2,NotApplicable,['Universal'],,OPStack,Celestia,,False,False,True,True
Molten Network,,L3,NotApplicable,['Universal'],Caldera,Orbit,DAC,,False,False,True,True
Pay Chain,,L2,NotApplicable,"['Universal', 'Payments']",Gateway,PolygonCDK,DAC,AggLayer,False,False,True,True
Deri,,L3,Stage 0,['Universal'],,Orbit,EthereumBlobs,,False,False,True,True
Lambda Chain,,L2,Stage 0,"['Universal', 'Storage']",,OPStack,EthereumBlobs,,False,False,True,True
Odyssey,,L2,NotApplicable,['Universal'],,,,,False,False,True,True
BSC,56.0,,,,,,,,True,False,False,False
Kava,,,,,,,,,True,False,False,False
Heco,128.0,,,,,,,,True,False,False,False
Fuse,122.0,,,,,,,,True,False,False,False
Velas,106.0,,,,,,,,True,False,False,False
OntologyEVM,58.0,,,,,,,,True,False,False,False
Thorchain,,,,,,,,,True,False,False,False
Tron,,,,,,,,,True,False,False,False
Injective,,,,,,,,,True,False,False,False
Milkomeda C1,2001.0,,,,,,,,True,False,False,False
Everscale,,,,,,,,,True,False,False,False
GodwokenV1,71402.0,,,,,,,,True,False,False,False
XDC,,,,,,,,,True,False,False,False
DefiChain,,,,,,,,,True,False,False,False
Merlin,,,,,,,,,True,False,False,False
DFK,53935.0,,,,,,,,True,False,False,False
Ultron,1231.0,,,,,,,,True,False,False,False
Kintsugi,,,,,,,,,True,False,False,False
Immutable zkEVM,13371.0,,,,,,,,True,False,False,False
Oraichain,,,,,,,,,True,False,False,False
ETHF,,,,,,,,,True,False,False,False
Chainflip,,,,,,,,,True,False,False,False
Morph,,,,,,,,,True,False,False,False
Areon Network,,,,,,,,,True,False,False,False
DeFiVerse,16116.0,,,,,,,,True,False,False,False
K2,2410.0,,,,,,,,True,False,False,False
BOB,60808.0,L2,Stage 0,"['Universal', 'Bitcoin DApps']",Conduit,OPStack,EthereumBlobs,Superchain,True,False,True,True
zkLink Nova,810180.0,L3,NotApplicable,"['Universal', 'Interoperability']",,,DAC,,True,False,True,True
SX Network,,L2,NotApplicable,"['Universal', 'Betting']",Gelato,Orbit,DAC,,True,False,True,True
Parallel,,L2,Stage 0,['Universal'],,Orbit,EthereumCalldata,,True,False,True,True
OP Mainnet,10.0,L2,Stage 1,['Universal'],Self-hosted,OPStack,EthereumBlobs,Superchain,True,True,True,True
Scroll,534352.0,L2,Stage 0,['Universal'],Self-hosted,,EthereumBlobs,,True,True,True,True
ZKsync Era,324.0,L2,Stage 0,['Universal'],Self-hosted,ZKStack,EthereumBlobs,ElasticChain,True,True,True,True
Metis,1088.0,L2,,,Self-hosted,,,,True,True,False,True
