active_secs_per_day,avg_blob_gas_price_on_l2,avg_l1_fee_scalar,avg_l1_gas_price_on_l2,avg_l2_gas_price,base_fee_gwei,blockchain,calldata_bytes_l2_per_day,calldata_bytes_user_txs_l2_per_day,calldata_gas_l2_per_day,calldata_gas_user_txs_l2_per_day,chain_id,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,dt,equivalent_l1_tx_fee,l1_contrib_l2_eth_fees_per_day,l1_contrib_l2_usd_fees_per_day,l1_gas_used_on_l2,l1_gas_used_user_txs_l2_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_usd_fees_per_day,l2_data_source,l2_gas_eth_fees_base_fee,l2_gas_eth_fees_priority_fee,l2_gas_usd_fees_base_fee,l2_gas_usd_fees_priority_fee,l2_gas_used,l2_gas_used_user_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_success_txs_per_day,l2_num_txs_per_day,l2_num_user_deposit_txs_per_day,median_l2_eth_fees_per_tx,num_blocks,num_users_per_day,last_updated
85782,,,,0.015000000000000003,,optimism_legacy_ovm1,4608902,4225674,31391984,28918632,10,3833563.0,3616486.5,2021-10-24 00:00:00.000 UTC,,18.64117661980499,,,,,,dune,,,,,,,0,26495,28075,919,0.0005870599508553796,28994,3165,2024-07-23 19:02:08.958684
86111,,,,0.015,,optimism_legacy_ovm1,170273,0,2074820,0,10,201688.25,0.0,2021-07-01 00:00:00.000 UTC,,0.000188700375,,,,,,dune,,,,,,,0,1,1,14,0.000188700375,1060,1,2024-07-23 19:02:08.958684
86381,,,,0.01500000000000001,,optimism_legacy_ovm1,2373076,2307268,14569852,14142136,10,2723019.75,2662287.5,2021-08-05 00:00:00.000 UTC,,17.953505349854996,,,,,,dune,,,,,,,0,24617,26341,127,0.000530260745486208,26841,1213,2024-07-23 19:02:08.958684
86072,,,,0.015000000000000001,,optimism_legacy_ovm1,8826220,8060272,58848364,53871940,10,6990098.75,6556740.25,2021-09-17 00:00:00.000 UTC,,43.820267660324966,,,,,,dune,,,,,,,0,48551,50687,1799,0.0007543556916118019,52486,6361,2024-07-23 19:02:08.958684
86138,,,,0.015000000000000005,,optimism_legacy_ovm1,1746100,1664504,11886412,11351108,10,1677900.75,1629280.25,2021-07-28 00:00:00.000 UTC,,5.3765861082749975,,,,,,dune,,,,,,,0,13787,13881,191,0.00034436760087565516,14104,1855,2024-07-23 19:02:08.958684
86213,,,,0.015000000000000005,,optimism_legacy_ovm1,2031340,1934412,12946168,12317976,10,2118203.5,2062077.5,2021-08-29 00:00:00.000 UTC,,18.21595152391502,,,,,,dune,,,,,,,0,18177,19692,234,0.0007693398797044435,19940,1162,2024-07-23 19:02:08.958684
86065,,,,0.015000000000000008,,optimism_legacy_ovm1,1350155,1169039,8995316,7815080,10,967691.25,864618.5,2021-07-22 00:00:00.000 UTC,,1.962928487715001,,,,,,dune,,,,,,,0,5790,5889,431,0.00026005595144733653,6320,1300,2024-07-23 19:02:08.958684
85855,,,,0.014999999999999994,,optimism_legacy_ovm1,4401444,4343780,28177740,27797324,10,4547952.75,4514384.75,2021-10-27 00:00:00.000 UTC,,69.73340031593995,,,,,,dune,,,,,,,0,39985,41720,144,0.0015163302669105908,41864,2934,2024-07-23 19:02:08.958684
86212,,,,0.015000000000000005,,optimism_legacy_ovm1,2975116,2784428,20119036,18880028,10,2666195.75,2557205.75,2021-11-06 00:00:00.000 UTC,,22.771376368394986,,,,,,dune,,,,,,,0,19483,20939,464,0.00098801156017856,21403,1861,2024-07-23 19:02:08.958684
86136,,,,0.014999999999999993,,optimism_legacy_ovm1,1434595,1295895,9730936,8820816,10,914727.5,834793.0,2021-07-20 00:00:00.000 UTC,,1.672399540035,,,,,,dune,,,,,,,0,4539,4654,339,0.0003112358273739415,4993,1225,2024-07-23 19:02:08.958684
86098,,,,0.015000000000000008,,optimism_legacy_ovm1,5131207,4791467,35274976,33082052,10,4276238.0,4083760.25,2021-10-08 00:00:00.000 UTC,,32.83545839200501,,,,,,dune,,,,,,,0,29938,31869,815,0.0009553873700720215,32684,4127,2024-07-23 19:02:08.958684
86071,,,,0.014999999999999993,,optimism_legacy_ovm1,1367680,1194440,9099280,7971764,10,861377.0,762211.25,2021-07-17 00:00:00.000 UTC,,1.3104292664849992,,,,,,dune,,,,,,,0,4318,4412,422,0.00028042860099946357,4834,1036,2024-07-23 19:02:08.958684
86276,,,,0.015,,optimism_legacy_ovm1,3687003,3560167,25035708,24213628,10,3917327.75,3805767.75,2021-08-16 00:00:00.000 UTC,,21.148205855849994,,,,,,dune,,,,,,,0,30862,34472,251,0.0005553204140770449,35357,1467,2024-07-23 19:02:08.958684
86270,,,,0.015000000000000005,,optimism_legacy_ovm1,7697793,6793437,51280260,45480204,10,5835664.25,5327844.75,2021-09-19 00:00:00.000 UTC,,25.13767058931,,,,,,dune,,,,,,,0,38398,40341,2137,0.0005467741585082551,42478,6156,2024-07-23 19:02:08.958684
86250,,,,0.015,,optimism_legacy_ovm1,10855260,9726352,71827008,64487788,10,8327584.0,7685894.75,2021-09-16 00:00:00.000 UTC,,51.15542385021002,,,,,,dune,,,,,,,0,56562,58726,2691,0.0007575139360125756,61417,7183,2024-07-23 19:02:08.958684
86141,,,,0.014999999999999994,,optimism_legacy_ovm1,3678067,3339487,23558428,21377140,10,3543205.75,3321671.25,2021-08-15 00:00:00.000 UTC,,18.26797460569499,,,,,,dune,,,,,,,0,27036,30210,765,0.00040247255869044836,31463,1693,2024-07-23 19:02:08.958684
86279,,,,0.014999999999999994,,optimism_legacy_ovm1,5807086,5481474,38706952,36613512,10,5406696.5,5169028.5,2021-08-18 00:00:00.000 UTC,,26.375939397434998,,,,,,dune,,,,,,,0,39013,43476,694,0.0004427378211860243,45047,2788,2024-07-23 19:02:08.958684
86263,,,,0.01499999999999999,,optimism_legacy_ovm1,2093488,2019216,13521472,13037604,10,2397600.0,2353758.25,2021-09-06 00:00:00.000 UTC,,30.09910117106999,,,,,,dune,,,,,,,0,21970,23712,176,0.001133509227457654,23912,1898,2024-07-23 19:02:08.958684
85930,,,,0.015000000000000001,,optimism_legacy_ovm1,6541212,5995648,43903776,40379728,10,5099574.0,4790717.0,2021-10-05 00:00:00.000 UTC,,36.609651715994985,,,,,,dune,,,,,,,0,34240,36022,1303,0.0008438246139517225,37325,5076,2024-07-23 19:02:08.958684
86192,,,,0.015000000000000012,,optimism_legacy_ovm1,12900068,10935960,89399456,76765212,10,9531466.0,8423381.75,2021-10-03 00:00:00.000 UTC,,27.784103343660018,,,,,,dune,,,,,,,0,55597,57814,4683,0.0004117153568861526,62497,9590,2024-07-23 19:02:08.958684
86153,,,,0.014999999999999989,,optimism_legacy_ovm1,2313100,2230848,14291056,13754256,10,2508531.0,2442681.0,2021-07-30 00:00:00.000 UTC,,8.85806210143501,,,,,,dune,,,,,,,0,22627,23513,174,0.0003758306291534544,23988,1110,2024-07-23 19:02:08.958684
85913,,,,0.014999999999999998,,optimism_legacy_ovm1,48472,640,304660,5164,10,80921.25,866.75,2021-06-28 00:00:00.000 UTC,,0.001707903165,,,,,,dune,,,,,,,0,8,8,35,0.00026475031499999995,910,2,2024-07-23 19:02:08.958684
86318,,,,0.014999999999999989,,optimism_legacy_ovm1,11950534,9940362,82714492,69756936,10,8988467.75,7851744.5,2021-09-14 00:00:00.000 UTC,,45.581703388050016,,,,,,dune,,,,,,,0,53668,56646,4803,0.0006418653629278728,61453,8838,2024-07-23 19:02:08.958684
83091,,,,0.015,,optimism_legacy_ovm1,63496,0,416476,0,10,149653.75,0.0,2021-06-23 00:00:00.000 UTC,,0.000390750435,,,,,,dune,,,,,,,0,1,1,40,0.000390750435,1819,1,2024-07-23 19:02:08.958684
86154,,,,0.014999999999999994,,optimism_legacy_ovm1,3755472,3670168,24871104,24313876,10,3460076.0,3411785.25,2021-11-01 00:00:00.000 UTC,,44.994951172769966,,,,,,dune,,,,,,,0,26923,28601,198,0.001502887106688532,28799,2265,2024-07-23 19:02:08.958684
86238,,,,0.014999999999999996,,optimism_legacy_ovm1,3221396,3096608,20113496,19306988,10,3607513.5,3530110.75,2021-09-09 00:00:00.000 UTC,,58.91399605843505,,,,,,dune,,,,,,,0,33845,36325,295,0.0012510603394863715,36722,3105,2024-07-23 19:02:08.958684
85997,,,,0.015,,optimism_legacy_ovm1,3011068,2857764,20193916,19187508,10,2857399.75,2770699.25,2021-11-04 00:00:00.000 UTC,,33.08069173707,,,,,,dune,,,,,,,0,22111,23684,350,0.0014077825152243257,24034,2009,2024-07-23 19:02:08.958684
86098,,,,0.014999999999999984,,optimism_legacy_ovm1,2042772,1990072,13106556,12762448,10,2155563.75,2124333.0,2021-09-04 00:00:00.000 UTC,,28.550566162800045,,,,,,dune,,,,,,,0,19558,21209,109,0.0011725233908650985,21352,1705,2024-07-23 19:02:08.958684
