avg_l1_fee_scalar,num_raw_txs,num_blocks,l2_num_txs_per_day,l2_gas_used,l1_gas_paid,dt,base_fee_gwei,compressedtxsize_approx_user_txs_l2_per_day,l2_eth_fees_per_day,avg_l1_gas_price_on_l2,num_users_per_day,l2_gas_used_user_txs_per_day,num_user_txs_per_second,active_secs_per_day,l2_num_attr_deposit_txs_per_day,l1_gas_used_user_txs_l2_per_day,l2_gas_used_per_block,l2_gas_eth_fees_priority_fee,chain_type,l2_num_user_deposit_txs_per_day,l1_gas_paid_user_txs,calldata_gas_user_txs_l2_per_day,avg_l2_gas_price,calldata_bytes_user_txs_l2_per_day,is_initial_day,l1_contrib_l2_eth_fees_per_day,calldata_bytes_l2_per_day,compressedtxsize_approx_l2_per_day,l2_gas_eth_fees_base_fee,l2_gas_used_per_second,equivalent_l1_tx_fee,l2_contrib_l2_eth_fees_per_day,calldata_gas_l2_per_day,l1_gas_used_on_l2,l2_eth_fees_per_second,l2_eth_fees_per_block,chain,l2_num_txs_per_day_per_block
0.684000015,"86,991","43,200","42,977","10,771,592,719","98,390,584.11",2023-10-25,0.0000000500029,"6,556,902",3.64,21.68,"18,704","8,579,713,797",0.5,"86,400","43,200","143,845,880","249,342.42",1.51,mainnet,4,"98,390,584.11","58,151,456",0.17559541956057054,"7,731,020",0,2.13,"18,965,072","14,746,381.25",0.0000005386068055,"124,671.21","189,059,391,851.15",1.51,"141,295,892","143,845,880",0.000042,0.00008424464892487308,zora,0.99
0.684000015,"75,984","43,200","32,676","6,520,006,697","93,004,311.08",2023-12-06,0.00000005000011,"6,565,908",6.64,56.09,"17,866","4,350,574,179",0.38,"86,400","43,200","135,971,212","150,926.08",1.42,mainnet,1,"93,004,311.08","69,503,040",0.327400788422029,"9,122,247",0,5.22,"20,354,667","14,706,600",0.0000003260011,"75,463.04","245,692,257,551.11",1.42,"152,635,008","135,971,212",0.0000768582068,0.000153716413673089,zora,0.76
0.684000015,"128,478","43,200","85,040","12,313,931,623","207,325,917.67",2024-02-29,0.000000252005098,"13,949,447",17.33,69.03,"31,853","10,142,147,365",0.98,"86,400","43,200","303,108,060","285,044.71",3.01,mainnet,2,"207,325,917.67","130,667,632",0.29721061146751204,"17,681,770",0,14.31,"28,914,674","22,097,711",0.0000031032,"142,522.36","698,677,009,306.18",3.01,"213,779,312","303,108,060",0.00020053470575471055,0.0004010694115094,zora,1.97
0.684000015,"43,203","43,200",1,"2,173,936,742","1,269.5",2023-06-18,0.00000005,68,0.000240524797961075,12.87,3,"149,454",0.00001157407407407407,"86,400","43,200","1,856","50,322.61",0.00022407231064,mainnet,0,"1,269.5",0,1.5,0,0,0.00001634379049,"11,232,000","8,133,222",0.0000001087,"25,161.3","1,924,093.87",0.0002241810075,"83,126,688","1,856",0.0000000028,0.0000000055677037,zora,0.000023
0.684000015,"112,990","43,200","69,360","10,333,276,526","239,235,123.03",2023-12-17,0.000000050000097062,"17,877,176.25",10.98,40.28,"16,108","8,156,237,954",0.8028,"86,400","43,200","349,758,944","239,196.22",1.34,mainnet,8,"239,235,123.03","210,571,140",0.16475593844048,"24,011,331",0,9.64,"35,246,691","26,039,758.25",0.00000052,"119,598.11","325,371,441,890.43",1.34,"293,703,012","349,758,944",0.00012707743786054,0.000254154875721089,zora,1.61
0.684000015,"84,132","43,200","40,861","7,667,506,623","108,894,080.14",2024-03-05,0.000000252001057,"7,550,131.25",11.04,86.5,"16,776","5,500,385,577",0.47292824074074075,"86,400","43,200","159,201,868","177,488.58",1.62,mainnet,1,"108,894,080.14","76,345,332",0.2940737968899049,"10,497,315",0,9.42,"21,729,735","15,688,246.5",0.000001932218066,"88,744.29","474,715,285,785.56",1.62,"159,476,328","159,201,868",0.00013,0.0002554764911095,zora,0.95
0,"652,241","43,200","608,036","54,475,490,688",0,2024-04-13,0.00000028,"60,746,249.25",1.15,36.46,"38,318","52,501,243,239",7.04,"86,400","43,200","1,416,100,376","1,261,006.73",0.1221484596089,mainnet,5,0,"310,396,820",0.0023,"43,824,665",0,1.03,"50,911,759","67,976,879.75",0.000015,"630,503.36","2,070,292,707,368.75",0.12216390637066507,"377,991,868","1,416,100,376",0.00001336499239184709,0.000027,zora,14.07
0,"142,843","43,200","98,490","17,011,434,480",0,2024-03-30,0.0000002520170079,"20,556,872",0.57,22.13,"38,843","15,013,478,274",1.14,"86,400","43,200","402,007,592","393,783.21",0.130062408,mainnet,1,0,"221,752,832",0.00866332856068,"31,651,310",0,0.439071650053,"38,736,534","27,923,998.25",0.000004287163759082,"196,891.6","332,981,260,537.53",0.130067,"291,370,788","402,007,592",0.00000658724936550027,0.00001317449873100055,zora,2.28
0.684000015,"92,095","43,200","48,259","9,401,769,911","122,906,832.77",2023-12-28,0.00000005000073,"8,440,060",5.11,29.1,"18,100","7,220,404,027",0.5585532407407408,"86,400","43,200","179,688,348","217,633.56",1.53,mainnet,4,"122,906,832.77","82,535,168",0.21,"10,880,390",0,3.58,"22,114,070","16,616,932",0.0000004700944066,"108,816.78","210,106,612,865.89",1.53,"165,671,552","179,688,348",0.00005913831006095,0.00011827662012189031,zora,1.12
0.684000015,"71,265","43,200","27,820","5,694,369,223","75,162,720.62",2023-11-21,0.00000005000049,"5,256,560.25",3.81,36.88,"11,952","3,521,092,003",0.32199074074074074,"86,400","43,200","109,887,016","131,814.1",1.03,mainnet,2,"75,162,720.62","53,836,804",0.29,"6,857,491",0,2.77,"18,090,333","13,406,371.5",0.00000028472082,"65,907.05","128,854,792,164.55",1.03,"136,965,624","109,887,016",0.00004405128001787401,0.00008810256003574802,zora,0.64
