dt,dune_schema,has_eth_tfer,has_eth_tfer_desc,has_event_log,has_event_log_desc,has_rev_dev,has_rev_dev_desc,is_contract_tx,is_contract_tx_desc,num_raw_transactions,sum_gas_used,tx_success,tx_success_desc,last_updated
2023-10-20 00:00:00.000 UTC,zora,True,eth tfer,False,no events,False,not revdev,True,contract tx,1,21256,False,failed,2024-05-16 00:33:20.268740+00:00
2023-10-29 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,1,21000,True,success,2024-05-16 00:33:20.268740+00:00
2023-09-10 00:00:00.000 UTC,optimism,False,no eth tfer,True,has event,True,revdev,True,contract tx,144682,55876421160,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-27 00:00:00.000 UTC,base,False,no eth tfer,True,has event,True,revdev,True,contract tx,773177,114022734678,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-13 00:00:00.000 UTC,base,False,no eth tfer,True,has event,False,not revdev,True,contract tx,28936,9173447066,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-14 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,False,not revdev,True,contract tx,84,27183113,True,success,2024-05-16 00:33:20.268740+00:00
2023-09-06 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,False,not revdev,True,contract tx,91,16294889,True,success,2024-05-16 00:33:20.268740+00:00
2023-06-04 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,7210,5863988699,False,failed,2024-05-16 00:33:20.268740+00:00
2024-02-20 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,True,contract tx,2926,80642906,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-07 00:00:00.000 UTC,base,False,no eth tfer,False,no events,True,revdev,True,contract tx,154920,21464423846,True,success,2024-05-16 00:33:20.268740+00:00
2023-08-05 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,1578,676214445,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-24 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,5464,562581581,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-14 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,289,31560958,False,failed,2024-05-16 00:33:20.268740+00:00
2024-03-02 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,True,contract tx,1817,40192248,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-22 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,True,contract tx,2674,58336241,True,success,2024-05-16 00:33:20.268740+00:00
2023-10-21 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,5170,1634051899,False,failed,2024-05-16 00:33:20.268740+00:00
2024-02-29 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,True,contract tx,1776,1286126382,False,failed,2024-05-16 00:33:20.268740+00:00
2023-08-03 00:00:00.000 UTC,zora,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,1033,21693000,True,success,2024-05-16 00:33:20.268740+00:00
2023-10-29 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,321,52402539,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-08 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,334,117928616,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-01 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,250,23970040,False,failed,2024-05-16 00:33:20.268740+00:00
2023-09-06 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,425,8925000,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-27 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,228,4788000,True,success,2024-05-16 00:33:20.268740+00:00
2023-10-01 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,False,non-contract tx,1,21000,False,failed,2024-05-16 00:33:20.268740+00:00
2024-02-07 00:00:00.000 UTC,zora,True,eth tfer,False,no events,False,not revdev,True,contract tx,5,305089,False,failed,2024-05-16 00:33:20.268740+00:00
2023-07-16 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,True,contract tx,1,98253,False,failed,2024-05-16 00:33:20.268740+00:00
2023-09-29 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,7,147000,True,success,2024-05-16 00:33:20.268740+00:00
2023-09-30 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,3,63000,False,failed,2024-05-16 00:33:20.268740+00:00
2023-10-07 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,1,21000,False,failed,2024-05-16 00:33:20.268740+00:00
2024-03-18 00:00:00.000 UTC,base,False,no eth tfer,True,has event,True,revdev,True,contract tx,655087,115898142350,True,success,2024-05-16 00:33:20.268740+00:00
2023-11-29 00:00:00.000 UTC,base,True,eth tfer,True,has event,True,revdev,True,contract tx,53640,17835868248,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-13 00:00:00.000 UTC,optimism,False,no eth tfer,True,has event,False,not revdev,True,contract tx,62927,2981501637,True,success,2024-05-16 00:33:20.268740+00:00
2023-11-06 00:00:00.000 UTC,base,False,no eth tfer,True,has event,True,revdev,True,contract tx,125144,58580593326,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-12 00:00:00.000 UTC,base,True,eth tfer,True,has event,True,revdev,True,contract tx,713892,141138540660,True,success,2024-05-16 00:33:20.268740+00:00
2023-07-05 00:00:00.000 UTC,zora,True,eth tfer,True,has event,True,revdev,True,contract tx,1649,186517586,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-12 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,True,revdev,True,contract tx,72843,14894116272,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-20 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,False,not revdev,True,contract tx,700,154787002,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-23 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,False,not revdev,True,contract tx,79,11917588,True,success,2024-05-16 00:33:20.268740+00:00
2023-07-20 00:00:00.000 UTC,zora,True,eth tfer,True,has event,False,not revdev,True,contract tx,72,7404320,True,success,2024-05-16 00:33:20.268740+00:00
2023-06-07 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,541,11361000,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-12 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,True,contract tx,688,5187325303,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-10 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,17221,2681746498,False,failed,2024-05-16 00:33:20.268740+00:00
2023-11-07 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,16888,354648000,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-04 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,3818,609028632,True,success,2024-05-16 00:33:20.268740+00:00
2023-08-14 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,True,contract tx,26,662725,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-25 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,454,61321132,False,failed,2024-05-16 00:33:20.268740+00:00
2024-02-03 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,True,contract tx,316,1777512976,True,success,2024-05-16 00:33:20.268740+00:00
2023-09-30 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,432,36113729,True,success,2024-05-16 00:33:20.268740+00:00
2023-07-27 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,353,153212066,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-18 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,True,revdev,True,contract tx,126,10687871,False,failed,2024-05-16 00:33:20.268740+00:00
2023-11-11 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,292,17803170,False,failed,2024-05-16 00:33:20.268740+00:00
2023-07-18 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,124,124704558,True,success,2024-05-16 00:33:20.268740+00:00
