alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,chain_id,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
OP Chain,1.3947368421052628e-09,Infinity,4.734482915868423,4.395521080441227,0.0,6805,ethereum,ethereum,2024-08-09 00:00:00.000 UTC,1.3893632000000004e-11,9961472.0,3.6721954652159996e-08,0.0,0.0,0.017387239614050157,0.0075562347476196305,0.009831004866430525,3832596,1596000.0,2236596.0,0.007556234733726,19.83980489242767,45.709685249332225,19.839804929149633,25.869880320182588,Race,76.0,100,76.0,24.0,ethereum,ethereum,1136.842105263158,3600.0,,2024-08-28 21:25:31.559620
OP Stack fork,,110.38143419115268,3.04629506825,3.0054305680430216,328.0,888888888,ethereum,celestia,2024-06-29 00:00:00.000 UTC,,,,1.4524734885416001e-05,0.049210688408694046,0.006790641456546205,0.000526302306351416,0.00626433915019479,2257108,172768.0,2084340.0,0.000511777571466,1.7339336519841861,23.017230508275343,1.78314434039288,21.234086167882463,Ancient8,8.0,32,8.0,24.0,ethereum,ethereum,10800.0,3600.0,,2024-08-28 21:25:31.559620
OP Chain,,328.3447230123063,8.050779907284468,,884.0,33979,ethereum,altda,2024-07-31 00:00:00.000 UTC,,,,0.000110502137655892,0.3647270973859839,0.004506214732824891,0.004506214732824891,,559724,559724.0,,0.004395712595169,14.508846922189221,14.873574019575207,14.873574019575207,,Funki,26.0,26,26.0,,,,3323.076923076923,,,2024-08-28 21:25:31.559620
OP Chain,1.0177777777777768e-09,Infinity,13.155094206943751,12.69377352537133,0.0,255,ethereum,ethereum,2024-06-03 00:00:00.000 UTC,3.0015488e-11,29491200.0,1.1403628118016002e-07,0.0,0.0,0.11690101054381492,0.04420111656534649,0.07269989397846843,9087209,3360000.0,5727209.0,0.04420111653533098,167.8633457697686,443.8873151457656,167.86334588380487,276.02396926196076,Kroma,225.0,188,160.0,28.0,ethereum,ethereum,540.0,3085.714285714286,,2024-08-28 21:25:31.559620
OP Chain,1.7142857142857146e-09,Infinity,6.692371793857143,5.28801960121318,0.0,254,ethereum,ethereum,2024-08-08 00:00:00.000 UTC,1.5728640000000001e-12,917504.0,3.88550361088e-09,0.0,0.0,0.001969349172504774,0.000983778655269864,0.00098557051723491,333378,147000.0,186378.0,0.000983778653697,2.4455086427831136,4.965109760349591,2.445508646668617,2.5196011136809737,SwanChain,7.0,9,7.0,2.0,ethereum,ethereum,12342.857142857143,43200.0,,2024-08-28 21:25:31.559620
OP Stack fork,,228.7344024455151,6.31256516825,4.301710834154088,328.0,888888888,ethereum,celestia,2024-07-27 00:00:00.000 UTC,,,,3.0098310722216e-05,0.09878892120915017,0.010056733977988926,0.001090609258988216,0.00896612471900071,2257084,172768.0,2084316.0,0.001060510948266,3.4808176936109954,32.96220321746739,3.579606614820146,29.382596602647247,Ancient8,8.0,32,8.0,24.0,ethereum,ethereum,10800.0,3600.0,,2024-08-28 21:25:31.559620
OP Chain,1.022988505747127e-09,Infinity,3.2028938398863644,2.191967035032278,0.0,7777777,ethereum,ethereum,2024-08-18 00:00:00.000 UTC,1.1665407999999996e-11,11403264.0,3.083345199104e-08,0.0,0.0,0.008066851365928124,0.002959473919720408,0.005107377446207716,3254043,924000.0,2330043.0,0.002959473908055,7.827700885493741,21.33184748878861,7.827700916327191,13.504146572461421,Zora,87.0,69,44.0,25.0,ethereum,ethereum,1963.6363636363637,3456.0,,2024-08-28 21:25:31.559620
OP Chain,1e-09,Infinity,11.467677355777777,10.805630683504866,0.0,1135,ethereum,ethereum,2024-06-03 00:00:00.000 UTC,1.1796480000000002e-12,1179648.0,4.48933527552e-09,0.0,0.0,0.007202415111599625,0.0021673910214216477,0.005035024090177977,654963,189000.0,465963.0,0.0021673910202419998,8.248803393894203,27.38088877751931,8.248803398383538,19.13208537913577,Lisk,9.0,14,9.0,5.0,ethereum,ethereum,9600.0,17280.0,,2024-08-28 21:25:31.559620
OP Chain,1.0105932203389792e-09,Infinity,6.532955371764085,3.195282627201178,0.0,10,ethereum,ethereum,2024-07-29 00:00:00.000 UTC,1.875640320000004e-10,185597952.0,6.260946907955199e-07,0.0,0.0,0.07124208355484288,0.03896254602476503,0.03227953753007784,16066248,5964000.0,10102248.0,0.038962545837201,129.9805940647649,237.67307791491697,129.98059469085956,107.69248322405743,OP Mainnet,1416.0,308,284.0,24.0,ethereum,ethereum,304.22535211267603,3600.0,,2024-08-28 21:25:31.559620
OP Stack fork,,32.86162514346694,7.771837448845326,8.855583545671335,29168.0,2410,ethereum,celestia,2024-08-01 00:00:00.000 UTC,,,,0.0035604316870704957,11.357701662372008,0.019905545450526974,0.015177248305652494,0.004728297144874479,2486786,1952852.0,533934.0,0.011616816618581998,36.65479397788215,62.95202915346961,48.012495640254144,14.939533513215462,Karak,71.0,77,71.0,6.0,ethereum,ethereum,1216.9014084507041,14400.0,,2024-08-28 21:25:31.559620
