delta_total_op_delegated,dt,gini_coefficient,num_delegates_to_reach_10pct,num_delegates_to_reach_25pct,num_delegates_to_reach_33pct,num_delegates_to_reach_45pct,num_delegates_to_reach_51pct,num_delegates_to_reach_75pct,num_recognized_delegates,pct_delegated,pct_delegated_100,pct_diff_total_op_delegated,total_circ,total_op_delegated,last_updated
-46556.034750789404,2024-05-12 00:00:00,0.41139406245365384,1,4,6,9,11,29,32,0.08564173732485424,8.564173732485424,-0.0005197453373229418,1045379867.0,89528147.97430506,2024-07-10 00:29:11.225077
-115859.54312159121,2024-05-11 00:00:00,0.4112673166731148,1,4,6,9,11,29,32,0.08568627236538874,8.568627236538875,-0.0012917695968560838,1045379867.0,89574704.00905585,2024-07-10 00:29:11.225077
-358823.29580168426,2024-05-10 00:00:00,0.4113988686271408,1,4,6,9,11,29,32,0.08579710245383695,8.579710245383696,-0.0039847389122976236,1045379867.0,89690563.55217744,2024-07-10 00:29:11.225077
-11968.189681634307,2024-05-09 00:00:00,0.4112395206665308,1,4,6,9,11,30,32,0.08614034925543398,8.614034925543399,-0.00013288929171262852,1045379867.0,90049386.84797913,2024-07-10 00:29:11.225077
-118464.08188165724,2024-05-08 00:00:00,0.41056073690643213,1,4,6,9,11,30,32,0.0861517979068376,8.61517979068376,-0.0013136429307384304,1045379867.0,90061355.03766076,2024-07-10 00:29:11.225077
95100.22027924657,2024-05-07 00:00:00,0.4117504084327488,1,4,6,9,11,30,32,0.08626511947120025,8.626511947120026,0.0010556753846963985,1045379867.0,90179819.11954242,2024-07-10 00:29:11.225077
239374.56673164666,2024-05-06 00:00:00,0.41173235952538645,1,4,6,9,11,30,32,0.08617414754483996,8.617414754483995,0.002664295724057602,1045379867.0,90084718.89926317,2024-07-10 00:29:11.225077
-99774.62517821789,2024-05-05 00:00:00,0.41079761474635945,1,4,6,9,11,30,32,0.08594516421132829,8.594516421132829,-0.0011092833756229704,1045379867.0,89845344.33253153,2024-07-10 00:29:11.225077
10673.976502493024,2024-05-04 00:00:00,0.41085450719034544,1,4,6,9,11,30,32,0.08604060762699742,8.604060762699742,0.00011868618864244354,1045379867.0,89945118.95770974,2024-07-10 00:29:11.225077
-19498.425469636917,2024-05-03 00:00:00,0.41055916122645864,1,4,6,9,11,30,32,0.08603039700706926,8.603039700706926,-0.00021676009668064906,1045379867.0,89934444.98120725,2024-07-10 00:29:11.225077
65737.82375335693,2024-05-02 00:00:00,0.4108449861293918,1,4,6,9,11,30,32,0.08604904900725134,8.604904900725133,0.0007313286913121497,1045379867.0,89953943.40667689,2024-07-10 00:29:11.225077
39177.939113497734,2024-05-01 00:00:00,0.4110060299471263,1,4,6,9,11,30,32,0.0859861648578349,8.59861648578349,0.00043604188204252444,1045379867.0,89888205.58292353,2024-07-10 00:29:11.225077
1853313.9216301143,2024-04-30 00:00:00,0.4106147346067761,1,4,6,9,11,30,32,0.0859486876303215,8.594868763032151,0.021061411326026597,1045379867.0,89849027.64381003,2024-07-10 00:29:11.225077
-299602.63251820207,2024-04-29 00:00:00,0.4094101371360126,1,4,5,9,11,29,32,0.08417582593656352,8.417582593656352,-0.0033931882786924343,1045379867.0,87995713.72217992,2024-07-10 00:29:11.225077
101226.87085790932,2024-04-28 00:00:00,0.411515698671991,1,4,5,9,11,29,32,0.08446242283973326,8.446242283973326,0.0011477738638761854,1045379867.0,88295316.35469812,2024-07-10 00:29:11.225077
60609.274357140064,2024-04-27 00:00:00,0.411054570484341,1,4,5,9,11,29,32,0.08436559022026795,8.436559022026795,0.0006876986386226759,1045379867.0,88194089.48384021,2024-07-10 00:29:11.225077
-24645.49698717892,2024-04-26 00:00:00,0.4110498236863702,1,4,5,9,11,29,32,0.08430761199027671,8.430761199027671,-0.00027956012891242873,1045379867.0,88133480.20948307,2024-07-10 00:29:11.225077
-23931.988513588905,2024-04-25 00:00:00,0.4104704752127004,1,4,5,9,11,29,32,0.08433118762796132,8.433118762796132,-0.0002713929470365518,1045379867.0,88158125.70647025,2024-07-10 00:29:11.225077
-25679.299293726683,2024-04-24 00:00:00,0.4105753950418678,1,4,5,9,11,29,32,0.08435408073052533,8.435408073052534,-0.0002911229804636368,1045379867.0,88182057.69498384,2024-07-10 00:29:11.225077
136687.0862982124,2024-04-23 00:00:00,0.4107176368133454,1,4,5,9,11,29,32,0.08437864529323058,8.43786452932306,0.00155200927479608,1045379867.0,88207736.99427757,2024-07-10 00:29:11.225077
-59247.79965804517,2024-04-22 00:00:00,0.4115244690236973,1,4,5,9,11,29,32,0.08424789178380011,8.424789178380012,-0.0006722750427394816,1045379867.0,88071049.90797935,2024-07-10 00:29:11.225077
-79070.08783790469,2024-04-21 00:00:00,0.4115389259440215,1,4,5,9,11,29,32,0.08430456764061384,8.430456764061384,-0.0008963910502254001,1045379867.0,88130297.7076374,2024-07-10 00:29:11.225077
155062.08119751513,2024-04-20 00:00:00,0.4118551029581574,1,4,5,9,11,29,32,0.08438020530146226,8.438020530146225,0.0017609823839922934,1045379867.0,88209367.7954753,2024-07-10 00:29:11.225077
20151.137040495872,2024-04-19 00:00:00,0.4120257424040724,1,4,5,9,11,29,32,0.08423187445437744,8.423187445437744,0.0002289013524042666,1045379867.0,88054305.71427779,2024-07-10 00:29:11.225077
725883.4747346789,2024-04-18 00:00:00,0.41200423874846737,1,4,5,9,11,29,32,0.08421259807678819,8.421259807678819,0.008314028734831653,1045379867.0,88034154.5772373,2024-07-10 00:29:11.225077
-164772.2611080408,2024-04-17 00:00:00,0.41144906487601385,1,4,5,9,10,28,31,0.08351822515298414,8.351822515298414,-0.0018836918754856896,1045379867.0,87308271.10250261,2024-07-10 00:29:11.225077
39098.507718369365,2024-04-16 00:00:00,0.4114524297070087,1,4,5,9,10,28,31,0.08367584466174788,8.367584466174787,0.00044717766975756515,1045379867.0,87473043.36361066,2024-07-10 00:29:11.225077
51435.411180347204,2024-04-15 00:00:00,0.41189625112338524,1,4,5,9,10,28,31,0.08690023835202947,8.690023835202945,0.0005886236445623145,1006141600.0,87433944.85589229,2024-07-10 00:29:11.225077
2165.8175405710936,2024-04-14 00:00:00,0.41222059125508503,1,4,5,9,10,28,31,0.08684911690830788,8.684911690830788,2.478609548403769e-05,1006141600.0,87382509.44471194,2024-07-10 00:29:11.225077
17535.081075787544,2024-04-13 00:00:00,0.41325274899885567,1,4,5,9,10,28,31,0.08684696431115796,8.684696431115796,0.0002007156290830032,1006141600.0,87380343.62717137,2024-07-10 00:29:11.225077
-77121.8992497623,2024-04-12 00:00:00,0.41298502194807185,1,4,5,9,10,28,31,0.08682953626616331,8.682953626616332,-0.0008819986344564584,1006141600.0,87362808.54609558,2024-07-10 00:29:11.225077
-13246.403512507677,2024-04-11 00:00:00,0.41327234068671315,1,4,5,9,10,28,31,0.08690618740478015,8.690618740478016,-0.00015146852281193804,1006141600.0,87439930.44534534,2024-07-10 00:29:11.225077
28515.012044772506,2024-04-10 00:00:00,0.413097969644581,1,4,5,9,10,28,31,0.08691935295077537,8.691935295077537,0.0003261666839272269,1006141600.0,87453176.84885785,2024-07-10 00:29:11.225077
-104645.44705690444,2024-04-09 00:00:00,0.4132759243217443,1,4,5,9,10,28,31,0.08689101199752905,8.689101199752905,-0.0011955475292124086,1006141600.0,87424661.83681308,2024-07-10 00:29:11.225077
1223.3383681625128,2024-04-08 00:00:00,0.41359537984333394,1,4,5,9,10,28,31,0.08699501867716232,8.699501867716231,1.397652402541118e-05,1006141600.0,87529307.28386998,2024-07-10 00:29:11.225077
-38153.15890972316,2024-04-07 00:00:00,0.41383841665255827,1,4,5,9,10,28,31,0.08699380280618733,8.699380280618735,-0.0004357062741457121,1006141600.0,87528083.94550182,2024-07-10 00:29:11.225077
46213.21580411494,2024-04-06 00:00:00,0.413943038131212,1,4,5,9,10,28,31,0.08703172307398038,8.703172307398038,0.0005280302009850178,1006141600.0,87566237.10441154,2024-07-10 00:29:11.225077
-113559.22727277875,2024-04-05 00:00:00,0.41377182754581665,1,4,5,9,10,28,31,0.08698579194877483,8.698579194877484,-0.0012958414255710207,1006141600.0,87520023.88860743,2024-07-10 00:29:11.225077
-130730.62140144408,2024-04-04 00:00:00,0.4138054075776896,1,4,5,9,10,28,31,0.08709865799792017,8.709865799792018,-0.001489564674233995,1006141600.0,87633583.1158802,2024-07-10 00:29:11.225077
-89078.28073912859,2024-04-03 00:00:00,0.4135084372807085,1,4,5,9,10,28,31,0.08722859062509855,8.722859062509855,-0.001013942418078252,1006141600.0,87764313.73728165,2024-07-10 00:29:11.225077
-5311.529587060213,2024-04-02 00:00:00,0.4142508800121265,1,4,5,9,10,28,31,0.08731712516212507,8.731712516212507,-6.0455360397869564e-05,1006141600.0,87853392.01802078,2024-07-10 00:29:11.225077
-633581.1188716441,2024-04-01 00:00:00,0.4140866844833905,1,4,5,9,10,28,31,0.08732240426954599,8.7322404269546,-0.007159732865521124,1006141600.0,87858703.54760784,2024-07-10 00:29:11.225077
50783.963012069464,2024-03-31 00:00:00,0.4140429671759296,1,4,5,9,11,28,31,0.08795211793894565,8.795211793894566,0.0005742096482774681,1006141600.0,88492284.66647948,2024-07-10 00:29:11.225077
-91765.59497329593,2024-03-30 00:00:00,0.4141892779543843,1,4,5,9,11,28,31,0.08790164396688042,8.790164396688041,-0.0010365097641824171,1006141600.0,88441500.70346741,2024-07-10 00:29:11.225077
-86974.43421396613,2024-03-29 00:00:00,0.4134956209291234,1,4,5,9,11,28,31,0.08799284941447676,8.799284941447675,-0.0009814285483194123,1006141600.0,88533266.29844071,2024-07-10 00:29:11.225077
73269.51125052571,2024-03-28 00:00:00,0.4134414882834979,1,4,5,9,11,28,31,0.08807929294709083,8.807929294709082,0.0008274649063638953,1006141600.0,88620240.73265468,2024-07-10 00:29:11.225077
-12399.940358683467,2024-03-27 00:00:00,0.41426544710650226,1,4,5,9,11,28,31,0.0880064706810693,8.80064706810693,-0.00014001838761968732,1006141600.0,88546971.22140415,2024-07-10 00:29:11.225077
627625.7000631392,2024-03-26 00:00:00,0.41505593804844354,1,4,5,9,11,28,31,0.08801879493081574,8.801879493081573,0.00713764632747468,1006141600.0,88559371.16176283,2024-07-10 00:29:11.225077
49151.75002861023,2024-03-25 00:00:00,0.41241657449063107,1,4,5,9,11,29,31,0.08739500032768717,8.739500032768717,0.0005592887960256312,1006141600.0,87931745.4616997,2024-07-10 00:29:11.225077
-54063.37018927932,2024-03-24 00:00:00,0.41289847584918515,1,4,5,9,11,29,31,0.08734614860539618,8.734614860539619,-0.0006147990153748015,1006141600.0,87882593.71167108,2024-07-10 00:29:11.225077
105429.68867628276,2024-03-23 00:00:00,0.412654322852526,1,4,5,9,11,29,31,0.08739988196677323,8.739988196677324,0.0012003667921469167,1006141600.0,87936657.08186036,2024-07-10 00:29:11.225077
30914.06051108241,2024-03-22 00:00:00,0.41279438941662105,1,4,5,9,11,28,31,0.08729509583261848,8.729509583261848,0.0003520951046489991,1006141600.0,87831227.39318408,2024-07-10 00:29:11.225077
11453.682356879115,2024-03-21 00:00:00,0.4127661765074626,1,4,5,9,11,28,31,0.08726437047496396,8.726437047496395,0.00013046851733240246,1006141600.0,87800313.332673,2024-07-10 00:29:11.225077
54211.76435256004,2024-03-20 00:00:00,0.4129018210044788,1,4,5,9,11,28,31,0.08725298670715545,8.725298670715546,0.0006179059887836313,1006141600.0,87788859.65031612,2024-07-10 00:29:11.225077
-97201.15366463363,2024-03-19 00:00:00,0.4128742422534398,1,4,5,9,11,28,31,0.08719910585742957,8.719910585742957,-0.0011066732025734557,1006141600.0,87734647.88596356,2024-07-10 00:29:11.225077
-139670.76718363166,2024-03-18 00:00:00,0.4129717659053578,1,4,5,9,11,28,31,0.08729571368446369,8.72957136844637,-0.0015876816439042202,1006141600.0,87831849.0396282,2024-07-10 00:29:11.225077
-1274.5966413915157,2024-03-17 00:00:00,0.41358065654892295,1,4,5,9,11,28,31,0.08743453188578211,8.743453188578211,-1.4488531938022463e-05,1006141600.0,87971519.80681182,2024-07-10 00:29:11.225077
-145450.55562324822,2024-03-16 00:00:00,0.4133163540352849,1,4,5,9,11,28,31,0.08743579870214413,8.743579870214413,-0.0016506292844438494,1006141600.0,87972794.40345322,2024-07-10 00:29:11.225077
174833.4177853614,2024-03-15 00:00:00,0.4134917982268993,1,4,5,9,11,28,31,0.08758036141143201,8.7580361411432,0.0019880217826582017,1006141600.0,88118244.95907646,2024-07-10 00:29:11.225077
-169507.4428667426,2024-03-14 00:00:00,0.41312862852374677,1,4,5,9,11,28,31,0.08740659519623391,8.74065951962339,-0.001923752439721342,1006141600.0,87943411.5412911,2024-07-10 00:29:11.225077
-106512.86451761425,2024-03-13 00:00:00,0.4141728015035627,1,4,5,9,11,28,31,0.08757506794685543,8.757506794685543,-0.0012073628483610943,1006141600.0,88112918.98415785,2024-07-10 00:29:11.225077
-77120.67541272938,2024-03-12 00:00:00,0.41486956570851086,1,4,5,9,11,28,31,0.08768093064502597,8.768093064502597,-0.0008734279335729454,1006141600.0,88219431.84867546,2024-07-10 00:29:11.225077
