,to_address,chain_id,num_blocks,min_block_number,max_block_number,min_block_time,max_block_time,num_user_transactions,num_success_user_transactions,num_success_event_transactions,num_success_qualified_transactions,num_senders,total_gas_used,user_gas_used,total_gas_used_per_block,user_gas_used_per_block
52,0xf70da97812cb96acdf810712aa562db8dfa3dbef,666666666,6,14552112,14573125,1715292073,1715297504,6,6,0,0,5,126433,126433,21072.166666666668,21072.166666666668
39,0x4d02511a8ed96c80172817ab8c6402e6c7d8a6bd,666666666,6,14569771,14580328,1715296637,1715299358,6,6,0,0,4,126110,126110,21018.333333333332,21018.333333333332
90,0x56c65e35f2dd06f659bcfe327c4d7f21c9b69c2f,666666666,6,14554049,14557144,1715292570,1715293366,6,6,6,6,2,2046580,2046580,341096.6666666667,341096.6666666667
13,0xd1e2af255cf1d84d4963030cdcbc2a9359278084,666666666,5,14566485,14582646,1715295785,1715299955,5,5,0,0,1,130005,130005,26001.0,26001.0
94,0x1349a9ddee26fe16d0d44e35b3cb9b0ca18213a4,666666666,4,14558233,14582545,1715293646,1715299929,4,4,4,4,3,1276016,1276016,319004.0,319004.0
68,0xf1b5f1ed80e31edb60365c19e8b885e1a4e3ae3a,666666666,4,14555436,14570703,1715292926,1715296879,4,4,3,3,1,835020,835020,208755.0,208755.0
63,0xef7c16174c1f06babfb0d92bf3703c76fcd645c4,666666666,4,14559678,14578375,1715294018,1715298857,4,4,4,4,1,313211,313211,78302.75,78302.75
87,0x3edf6e492945cab95f0d394d61fb5679835dc8a8,666666666,4,14554471,14571033,1715292679,1715296964,4,4,4,4,1,313255,313255,78313.75,78313.75
92,0x00000000009726632680fb29d3f7a9734e3010e2,666666666,6,14557891,14577597,1715293559,1715298657,6,4,4,4,3,982048,982048,163674.66666666666,163674.66666666666
98,0x21e366c49b2b6ce69e95c8486161ea9ea264a28e,666666666,3,14555100,14577869,1715292840,1715298727,3,3,3,3,1,234922,234922,78307.33333333333,78307.33333333333
79,0xd87bcb5713b7635f53e4d0b7b730663d70d50f4c,666666666,3,14564388,14578608,1715295231,1715298917,3,3,0,0,2,175079,175079,58359.666666666664,58359.666666666664
50,0xe3584ce2a3f7c2983b45eb3d37cd959c8587bd87,666666666,4,14552760,14573917,1715292238,1715297710,4,3,3,3,3,394010,394010,98502.5,98502.5
91,0xd46a88e6bf8904b3b07f374f91735560f9b72148,666666666,2,14555716,14560159,1715292999,1715294142,2,2,2,2,1,39040398,39040398,19520199.0,19520199.0
57,0x72890a621122af9631ebd30a9d8d40613b2f7f4d,666666666,2,14558167,14566271,1715293630,1715295731,2,2,2,0,2,94065,94065,47032.5,47032.5
33,0x0c3544b0b78a0eea3bb4ca3774b72055a66e4ee5,666666666,2,14557886,14559697,1715293557,1715294023,2,2,2,1,2,101789,101789,50894.5,50894.5
106,0x20f3df073a82af55c799a5bd5b3e7e439906857d,666666666,2,14559544,14559772,1715293985,1715294044,2,2,2,2,1,158999,158999,79499.5,79499.5
48,0x8ba906414b704bbb6d92c9554700d2bdd59f105e,666666666,2,14555272,14556960,1715292885,1715293318,2,2,0,0,1,170006,170006,85003.0,85003.0
85,0x2445bffc6ab9eec6c562f8d7ee325cddf1780814,666666666,2,14569227,14581356,1715296497,1715299623,2,2,2,2,2,364809,364809,182404.5,182404.5
66,0x475bb7d16b94164bbe1db0a99002b3e2caf46eba,666666666,2,14554868,14569556,1715292780,1715296581,2,2,0,0,2,91869,91869,45934.5,45934.5
44,0x93d7845b05971d8beb3a33ad76a0dcbba1c25102,666666666,2,14577361,14579174,1715298596,1715299062,2,2,0,0,1,42000,42000,21000.0,21000.0
67,0xf5bf6e2723364fc8cb56e33d0ee201491046073a,666666666,2,14582415,14582665,1715299895,1715299959,2,2,2,2,2,105007,105007,52503.5,52503.5
32,0xeb54dacb4c2ccb64f8074eceea33b5ebb38e5387,666666666,2,14571065,14577410,1715296972,1715298608,2,2,2,0,2,65827,65827,32913.5,32913.5
28,0x8dde615413f33ef5b2c5b9dd9ebee15e1279a7c6,666666666,2,14578592,14578595,1715298912,1715298912,2,2,0,0,1,42000,42000,21000.0,21000.0
89,0xc56428a652a296b41f1af6ce2ed41dbd99e5b556,666666666,2,14559230,14583064,1715293903,1715300063,2,2,2,1,2,98736,98736,49368.0,49368.0
