Team,contract_address,contract_name,contract_num_by_creator,creator_address,date,days_since_contract_created,days_since_creator_first_deployed,median_calldata_gas_to_w_overhead_per_day_t28d,median_eth_fees_to_per_day_t28d,median_num_address_users_trace_growth,median_num_address_users_trace_t28d,median_num_address_users_tx_growth,median_num_address_users_tx_t28d,median_num_txs_to_t28d,median_num_txs_trace_t28d,median_trace_tx_eth_fees_per_day_t28d,token_symbol,total_calldata_gas_to_w_overhead_growth,total_calldata_gas_to_w_overhead_t28d,total_eth_fees_to_growth,total_eth_fees_to_t28d,total_trace_tx_eth_fees_growth,total_trace_tx_eth_fees_t28d,last_updated
Uniswap,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,SwapRouter02,4,0x6c9fc64a53c1b71fb3f9af64d1ae3a4931a5f4e9,2023-05-11 00:00:00.000,513,534,4873792,0.2743036479223522,-243.0,236,-178.0,168,861,3207,4.332243925528819,,-1277744488.0,142635372,-17.815580548116117,8.848392554325779,-48.56654455260619,132.2768908506453,2023-05-12 23:31:25.768725+00:00
Stargate Finance,0xae8d00e43adb49d14fa07c93b27cdb3ee94c4675,,30,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d,2023-05-11 00:00:00.000,142,420,0,0.0,8015.0,9534,0.0,0,0,12408,5.176605279808274,,0.0,0,0.0,0.0,114.41772599578438,138.7324225307924,2023-05-12 23:31:25.768725+00:00
Stargate Finance,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,RouterETH,22,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d,2023-05-11 00:00:00.000,318,420,42631580,2.4706411006146203,5013.0,5740,5214.0,5774,7874,7901,2.541381232093973,,1108203914.0,1491018728,59.684677300567806,69.02098672646422,56.92057999258533,68.62235377347668,2023-05-12 23:31:25.768725+00:00
Chainlink,0xd702dd976fb76fffc2d3963d037dfdae5b04e593,EACAggregatorProxy,25,0x83bc3055649f9a829bebeccbc86e090d6a157161,2023-05-11 00:00:00.000,490,493,0,0.0,-137.0,412,0.0,0,0,4466,4.202671690693354,,0.0,0,0.0,0.0,81.03700676273417,136.16390885835077,2023-05-12 23:31:25.768725+00:00
Synthetix,0x82f962af60e6627d3ea5db5fd7e1a57f7e1ef2b8,,353,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,35,238,0,0.0,-34.0,48,0.0,0,0,182,3.9754873638933184,,0.0,0,0.0,0.0,132.8917094057088,135.0412861261837,2023-05-12 23:31:25.768725+00:00
,0x168090d7dcc4d8f00f8bd30176443c86364a2892,,16,0x977703e95678fd656cb980295fe6feca0583b61f,2023-05-11 00:00:00.000,86,235,0,0.0,0.0,10,0.0,0,0,1588,4.578189896607411,,0.0,0,0.0,0.0,113.56559329021076,134.56054090794382,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x34235c8489b06482a99bb7fcab6d7c467b92d248,,305,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,392,533,0,0.0,-6.0,32,0.0,0,0,1737,4.4020023746982515,vAAVE,0.0,0,0.0,0.0,69.84300590553386,133.28004089097928,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x46453f42f41b52fd9423ce54b7572efb45f2f1cf,,743,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-1.0,32,0.0,0,0,1737,4.402002374698248,,0.0,0,0.0,0.0,130.9064653761777,133.28004089097928,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x49608e604b812f098d16defea17f6de18e740452,,748,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-7.0,47,0.0,0,0,1435,4.617948851987371,,0.0,0,0.0,0.0,128.874628455079,130.82177901297294,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x86f1e0420c26a858fc203a3645dd1a36868f18e5,,148,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,0,0.0,-40.0,47,0.0,0,0,1435,4.617948851987369,vBTC,0.0,0,0.0,0.0,51.42098082066963,130.82177901297288,2023-05-12 23:31:25.768725+00:00
Synthetix,0x59b007e9ea8f89b069c43f8f45834d30853e3699,ProxyPerpsV2,97,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,94,238,0,0.0,13.0,143,-92.0,0,0,687,4.267895542774425,,28547583.0,61923484,2.011905654806854,3.490756257205341,97.34567401862446,127.31422387390842,2023-05-12 23:31:25.768725+00:00
,0x384fabb05f28389afc16fc8bcb08b55ed97fa597,,1,0x3ed53024199293307a1253ff6591061973744ec7,2023-05-11 00:00:00.000,9,9,6715240,0.7226285337926012,,688,,523,685,1765,2.307507776454192,OPepe,,703520844,,50.36512354327141,,78.52078808813779,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x443a4ffdd77fc89ee113399bbec66a312d2c391a,,760,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-8.0,28,0.0,0,0,1674,4.393053075971096,,0.0,0,0.0,0.0,125.56317088225245,128.00070361858764,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x151bb01c79f4516c233948d69dae39869bccb737,,199,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,475,533,0,0.0,-8.0,28,0.0,0,0,1674,4.386555726009251,vSOL,0.0,0,0.0,0.0,64.51486766953133,127.9942062686258,2023-05-12 23:31:25.768725+00:00
Rubicon,0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,RubiconRouter,24,0x3204ac6f848e05557c6c7876e09059882e07962f,2023-05-11 00:00:00.000,420,542,0,0.0,-88.0,20,-95.0,0,0,2853,4.042281112734258,,-223077460.0,0,-3.9675960398958736,0.0,8.668948277055776,127.31223078991425,2023-05-12 23:31:25.768725+00:00
Chainlink,0x0c1272d2ac652d10d03bb4deb0d31f15ea3eab2b,AccessControlledOffchainAggregator,24,0x83bc3055649f9a829bebeccbc86e090d6a157161,2023-05-11 00:00:00.000,490,493,0,0.0,-137.0,422,0.0,0,0,4740,3.8835322369879783,,0.0,0,0.0,0.0,68.97345961755627,126.93352758293412,2023-05-12 23:31:25.768725+00:00
Clique,0x33413c433dd28c5e0a90cba7b0a6f98d3ab971fb,CliqueOPIssuerV2,4,0x4401a1667dafb63cff06218a69ce11537de9a101,2023-05-11 00:00:00.000,92,128,57856096,3.7418933913755614,3348.0,3621,3348.0,3621,4056,4056,3.7418933913755326,,731592569.0,800266748,58.79728422178911,60.72324762995904,58.79728422178906,60.723247629959,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x5faa136fc58b6136ffdaeaac320076c4865c070f,,193,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,478,533,0,0.0,-1.0,29,0.0,0,0,1706,3.7278701113459984,vAVAX,0.0,0,0.0,0.0,64.94479233067266,119.67119030598572,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x6dd52f76abcade1959b45569c696eafadcad3b74,,746,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,4.0,29,0.0,0,0,1706,3.7278701113459998,,0.0,0,0.0,0.0,117.91230383896351,119.67119030598569,2023-05-12 23:31:25.768725+00:00
Synthetix,0xffa3635f5844ea0f2fccb03cb936828f508f558b,,36,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,189,238,0,0.0,-871.0,1397,0.0,0,0,4568,3.395017212572357,,0.0,0,0.0,0.0,46.495978794598145,119.21558865604617,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x5f714b5347f0b5de9f9598e39840e176ce889b9c,,227,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,443,533,0,0.0,-6.0,23,0.0,0,0,1584,3.611787803237158,vATOM,0.0,0,0.0,0.0,65.5900728799233,116.85331742889916,2023-05-12 23:31:25.768725+00:00
