project_name,application_id,is_oss,gas_fees,transaction_count,trusted_transaction_count,trusted_transaction_share,trusted_users_onboarded,daily_active_addresses,trusted_daily_active_users,monthly_active_addresses,trusted_monthly_active_users,recurring_addresses,trusted_recurring_users,power_user_addresses,openrank_trusted_users_count,log_gas_fees,log_transaction_count,log_trusted_transaction_count
Idle,0x4feb65733264313314056d99958c55902bd2e77139123e73090f46249603ae18,false,0.24117690668918204,5548.0,1033.0,0.18619322278298486,22.0,10.438524590163935,2.0327868852459017,219.38271604938274,44.444444444444443,38.0,4.0,571.0,7.0,0.093833686513514675,3.744214724814166,3.0145205387579237
Infusion,0xf234dd929b802645332b513bc9ecc47d83ea513fff791f3a9c6788bbd8229db0,false,0.98349558866674081,29339.0,421.0,0.01434950066464433,7.0,20.479508196721312,0.77868852459016391,524.69135802469134,18.888888888888889,19.0,2.0,329.0,2.0,0.29743123893176104,4.4674601095072637,2.6253124509616739
IntentX,0x2ddf5b9dc64f873d6557b4f63de936cf278f8851deda857244a1be44d1a1e950,false,0.32627288365315366,9826.0,0.0,0.0,0.0,1.4098360655737705,0.0,4.9382716049382722,0.0,8.0,0.0,0.0,0.0,0.12263289033714612,3.9924209560520243,0.0
Ionic Protocol,0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,false,73.222225702898484,790452.0,147265.0,0.18630479776128089,1613.0,1272.6803278688524,246.45901639344262,22315.925925925927,3961.2345679012346,18500.0,4063.0,33550.0,209.0,1.8705339734026072,5.8978760520702807,5.1681024907882982
Ironclad Finance,0x01d8c3bc48ed5f94c260dcc8698eb61f48b06f70b0596c65fbcb1f369c092be9,false,0.78920895313478667,361090.0,75283.0,0.20848818854025311,503.0,410.52049180327867,76.290983606557376,8144.6913580246919,1534.1975308641977,3946.0,536.0,20391.0,95.0,0.25266106269942612,5.5576166640040983,4.8767026860272873
Keng Lernitas,0x62043b7744f559522f071821d2a062e2135c21a7759c685cf72ad03f9774b123,false,0.40345964611384533,45428.0,6629.0,0.14592321915998943,17.0,143.45491803278688,21.987704918032787,3834.9382716049386,573.33333333333337,89.0,20.0,6727.0,112.0,0.1471999298154639,4.6573331770686037,3.8215135284047732
Kim Exchange,0x69f13f6351489812a9052412e273ba726383744c8c482ac877c6a4e9f3b1d3ad,false,51.515046759081208,707994.0,148495.0,0.20974047802664994,1310.0,1082.561475409836,224.73360655737704,16192.0987654321,3243.4567901234568,11065.0,2732.0,29658.0,189.0,1.7202837565140758,5.8500301906275132,5.1717147553278142
Kiwi News,0x5b054742b09f8ce4092a15700ef9781520a6ff2928ba5ee09c78ad4dd8817b85,false,0.0026280826790585862,898.0,668.0,0.74387527839643652,86.0,3.512295081967213,2.6147540983606556,99.753086419753089,73.333333333333343,12.0,12.0,340.0,220.0,0.0011398646314626192,2.9537596917332287,2.8254261177678233
Kwenta,0x945e356d400d37b4cd548ca3b53d4ee41a075c8b4befd0b8589947b6d8721ad4,true,102.91619866839406,697405.0,51998.0,0.074559258967171152,30.0,441.43852459016392,48.778688524590166,3370.6172839506175,428.27160493827165,3240.0,415.0,3245.0,99.0,2.0166832515413429,5.843485679426081,4.7159949917375323
L2Pass,0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,false,5.2258524410773148,492017.0,4142.0,0.0084184083070300425,112.0,1150.9918032786886,9.28688524590164,25075.432098765432,218.64197530864197,10755.0,52.0,4960.0,23.0,0.79419882325537872,5.6919809912992267,3.6173149332982937
