"block_number","block_timestamp","asc_block_number_rank","desc_block_number_rank","last_base_fee_per_gas_gwei","trailing_avg_base_fee_per_gas_gwei","last_l1_gas_price_gwei","trailing_avg_l1_gas_price_gwei","trailing_avg_priority_fee_paid_per_gas_gwei_1pct","trailing_avg_priority_fee_paid_per_gas_gwei_25pct","trailing_avg_priority_fee_paid_per_gas_gwei_50pct","trailing_avg_priority_fee_paid_per_gas_gwei_75pct","trailing_avg_priority_fee_paid_per_gas_gwei_99pct"
10145963,"2023-06-02 15:33:14",481,539,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,72.2089461100000000,2.002713084710999,2.0543430585749993,2.108124281349999,2.157612170141666,2.205120543381666
10145962,"2023-06-02 15:33:12",480,540,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.6347316844000000,2.025714086723999,2.0717680600999993,2.119740949033332,2.1634205039833323,2.2053528767353323
10145961,"2023-06-02 15:33:10",479,541,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,70.9691848010000000,2.011067419323999,2.0571213926999987,2.105094281633332,2.148773836583332,2.190706209335332
10145960,"2023-06-02 15:33:08",478,542,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,70.3036379176000000,2.0338360879833326,2.0687380603833323,2.1050942816333325,2.141450502883332,2.1763524752833323
10145957,"2023-06-02 15:33:02",477,543,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,69.6380910342000000,1.9913668552983324,2.0365643992583324,2.0836451742166653,2.130725949174999,2.175923493134999
10145955,"2023-06-02 15:32:58",476,544,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,68.8976852072000000,1.9912203886243323,2.0329027324083326,2.0763218405166657,2.119740948624999,2.161423292408999
10145954,"2023-06-02 15:32:56",475,545,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,68.0851744017666667,1.9912203886243323,2.0329027324083326,2.0763218405166652,2.119740948624999,2.161423292408999
10145953,"2023-06-02 15:32:54",474,546,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,67.2726635963333333,1.991220390290999,2.0329027340749994,2.0763218421833325,2.119740950291666,2.1614232940756657
10145952,"2023-06-02 15:32:52",473,547,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,66.4601527909000000,1.9517193866446658,2.002977731716666,2.0563718411666656,2.109765950616666,2.1610242956886663
10145950,"2023-06-02 15:32:48",472,548,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,65.4564282552666667,1.9517193866446658,2.002977731716666,2.0563718411666656,2.1097659506166657,2.1610242956886663
10145949,"2023-06-02 15:32:46",471,549,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,64.4352655026333333,1.9517193866446656,2.002977731716666,2.0563718411666656,2.1097659506166657,2.1610242956886663
10145948,"2023-06-02 15:32:44",470,550,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,63.4141027500000000,1.9916193903613324,2.0428777358333323,2.096271845699999,2.149665955566666,2.200924301038666
10145947,"2023-06-02 15:32:42",469,551,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,62.3929399973666667,2.0148527257279993,2.066111071199999,2.119505181066666,2.1728992909333322,2.2241576364053324
