,dt,blockchain,token_type,asset_id,address,usd_value,token_classification
80,2024-07-19,optimism,canonical,usdd-decentralized-usd,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,609.67,Immutable Factory Created
79,2024-07-19,optimism,canonical,mana-decentraland-mana,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,170.87,Immutable Factory Created
78,2024-07-19,optimism,canonical,dai-dai-stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,30344585.02,Immutable Factory Created
76,2024-07-19,optimism,canonical,crvusd-curve.fi-usd-stablecoin,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,3876768.87,Immutable Factory Created
75,2024-07-19,optimism,canonical,crv-curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,1732116.91,Immutable Factory Created
74,2024-07-19,optimism,canonical,cro-cro,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,189.88,Immutable Factory Created
72,2024-07-19,optimism,canonical,cbeth-coinbase-wrapped-staked-eth,0xbe9895146f7af43049ca1c1ae358b0541ea49704,357562.96,Immutable Factory Created
71,2024-07-19,optimism,canonical,chz-chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af,53.84,Immutable Factory Created
68,2024-07-19,optimism,canonical,ctsi-cartesi-token,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,326.84,Immutable Factory Created
67,2024-07-19,optimism,canonical,bico-biconomy-token,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,246779.05,Immutable Factory Created
83,2024-07-19,optimism,canonical,enj-enjin-coin,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,90.25,Immutable Factory Created
66,2024-07-19,optimism,canonical,bal-balancer,0xba100000625a3754423978a60c9317c58a424e3d,414679.12,Immutable Factory Created
64,2024-07-19,optimism,canonical,ape-apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,63.37,Immutable Factory Created
63,2024-07-19,optimism,canonical,acx-across-protocol-token,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,1880883.64,Immutable Factory Created
60,2024-07-19,optimism,canonical,1inch-1inch-token,0x111111111117dc0aa78b770fa6a738034120c302,1944.09,Immutable Factory Created
59,2024-07-19,optimism,canonical,zrx-0x-protocol-token,0xe41d2489571d322189246dafa5ebde1f4699f498,154886.9,Immutable Factory Created
43,2024-07-19,base,canonical,yfi-yearn.finance,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,69298.66,Immutable Factory Created
42,2024-07-19,base,canonical,xyo-xy-oracle,0x55296f69f40ea6d20e478533c15a6b08b654e758,51179.55,Immutable Factory Created
40,2024-07-19,base,canonical,weeth-wrapped-eeth,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,119332.24,Immutable Factory Created
37,2024-07-19,base,canonical,uni-uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,322705.14,Immutable Factory Created
36,2024-07-19,base,canonical,trac-trace-token,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,1074906.26,Immutable Factory Created
35,2024-07-19,base,canonical,thales-thales-dao-token,0x8947da500eb47f82df21143d0c01a29862a8c3c5,1819956.43,Immutable Factory Created
65,2024-07-19,optimism,canonical,arpa-arpa-token,0xba50933c268f567bdc86e1ac131be072c6b0b71a,4.28,Immutable Factory Created
73,2024-07-19,optimism,canonical,comp-compound,0xc00e94cb662c3520282e6f5717214004a7f26888,170158.17,Immutable Factory Created
0,2024-07-19,base,canonical,eth-ether,native,1763646481.05,Native
7,2024-07-19,base,canonical,link-chainlink-token,0x514910771af9ca656af840dff83e8264ecf986ca,13.5,Unknown
25,2024-07-19,base,canonical,ezeth-renzo-restaked-eth,0xbf5495efe5db9ce00f80364c8b423567e58d2110,35.28,Unknown
41,2024-07-19,base,canonical,wsteth-wrapped-liquid-staked-ether-2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,96762607.0,Unknown
44,2024-07-19,base,external,base:rseth-kelpdao-restaked-eth,0x1bc71130a0e39942a7658878169764bbd8a45993,626177.72,Unknown
58,2024-07-19,optimism,canonical,eth-ether,native,1707379237.81,Native
86,2024-07-19,optimism,canonical,frax-frax,0x853d955acef822db058eb8505911ed77f175b99e,3.46,Unknown
87,2024-07-19,optimism,canonical,fxs-frax-share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,152.46,Unknown
107,2024-07-19,optimism,canonical,rgt-rari-governance-token,0xd291e7a03283640fdc51b121ac401383a46cc623,2.7800000000000002,Unknown
112,2024-07-19,optimism,canonical,snt-status-network-token,0x744d70fdbe2ba4cf95131626614a1763df805b9e,620.57,Unknown
114,2024-07-19,optimism,canonical,snx-synthetix-network-token,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,186393336.67,Unknown
127,2024-07-19,optimism,canonical,weth-wrapped-ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,186.7,Unknown
131,2024-07-19,optimism,canonical,yfi-yearn.finance,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,184.72,Unknown
132,2024-07-19,optimism,external,optimism:rseth-kelpdao-restaked-eth,0x4186bfc76e2e237523cbc30fd220fe055156b41f,607951.13,Unknown
134,2024-07-19,optimism,external,optimism:ezeth-renzo-restaked-eth,0x2416092f143378750bb29b79ed961ab195cceea5,7252873.97,Unknown
135,2024-07-19,optimism,external,optimism:susde-staked-usde,0x211cc4dd073734da055fbf44a2b4667d5e5fe5d2,12629.59,Unknown
141,2024-07-19,optimism,native,op-optimism,0x4200000000000000000000000000000000000042,2048154133.56,Predeploy
144,2024-07-19,optimism,native,optimism:fpi-frax-price-index,0xc5d43a94e26fca47a9b21cf547ae4aa0268670e1,277021.47,Unknown
145,2024-07-19,optimism,native,optimism:fpis-frax-price-index-share,0x8368dca5ce2a4db530c0f6e535d90b6826428dee,16265.79,Unknown
