badgeholder_address,round_allocation,category_allocation,declared_COIs
0xdb150346155675dd0c93efd960d5985244a34820,6000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40.00508453031651'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '39.99491546968349'}, {'OP_STACK_TOOLING': '20'}]",[]
0x146cfed833cc926b16b0da9257e8a281c2add9f3,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}, {'OP_STACK_TOOLING': '33.33'}]",[]
0x06f455e2c297a4ae015191fa7a4a11c77c5b1b7c,7000000,"[{'OP_STACK_TOOLING': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '25'}]",[]
0x9934465ee73beaf148b1b3ff232c8cd86c4c2c63,5000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
0xf68d2bfcecd7895bba05a7451dd09a1749026454,6900000,"[{'OP_STACK_TOOLING': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
0x534631bcf33bdb069fb20a93d2fdb9e4d4dd42cf,8000000,"[{'OP_STACK_TOOLING': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '20'}]",[]
0xabf5f73c4e42672b00ccd4f3e692fd695781f0a4,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_TOOLING': '30'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '20'}]",[]
0xef32eb37f3e8b4bdddf99879b23015f309ed7304,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'OP_STACK_TOOLING': '15'}]",[]
0x15c6ac4cf1b5e49c44332fb0a1043ccab19db80a,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '67'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '30'}, {'OP_STACK_TOOLING': '3'}]",[]
0x91031dcfdea024b4d51e775486111d2b2a715871,6000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}, {'OP_STACK_TOOLING': '33.33'}]",[]
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,8000000,"[{'OP_STACK_TOOLING': '37.5'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '37.5'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '25'}]",['0xc8a03780dc632e8fad9356662e52723f5e6cff9ba457c0f29e15653c2d26fe7c']
0x17640d0d8c93bf710b6ee4208997bb727b5b7bc2,6650000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45.335'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '45.335'}, {'OP_STACK_TOOLING': '9.333333333333339'}]",[]
0x66da63b03feca7dd44a5bb023bb3645d3252fa32,5000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '43.33'}, {'OP_STACK_TOOLING': '32.83'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '23.83992500374981'}]",[]
0x14276eb29e90541831cb94c80331484ae6d2a1d8,8000000,"[{'OP_STACK_TOOLING': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20'}]",[]
0x1f5d295778796a8b9f29600a585ab73d452acb1c,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '10'}]",[]
0xabf28f8d9adfb2255f4a059e37d3bce9104969db,5000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'OP_STACK_TOOLING': '20'}]",[]
0x288c53a1ba857ead34ad0e79f644087f8174185a,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_TOOLING': '20'}]",[]
0x616cad18642f45d3fa5fcaad0a2d81764a9cba84,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '20'}]",[]
0x8eb9e5e5375b72ee7c5cb786ce8564d854c26a86,7500000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '48'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '12'}]",[]
0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}, {'OP_STACK_TOOLING': '33.33'}]",[]
0x3db5b38ef4b433d9c6a664bd35551be73313189a,7450000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '35'}, {'OP_STACK_TOOLING': '20'}]",[]
0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_TOOLING': '33.33'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}]",[]
0x665d84fffddd72d24df555e6b065b833478dffca,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '50'}, {'OP_STACK_TOOLING': '32.33'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '17.67'}]",[]
0x399e0ae23663f27181ebb4e66ec504b3aab25541,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_TOOLING': '33.33'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}]",['0x2e12440c85ca56b172a63d1a17061f858e1111f5eb97efc47d4c1bb223ff52e9']
