"Date(UTC)","UnixTimeStamp","Value"
"5/31/2025","1748649600","40000000"
"6/1/2025","1748736000","40000000"
"6/2/2025","1748822400","40000000"
"6/3/2025","1748908800","40000000"
"6/4/2025","1748995200","40000000"
"6/5/2025","1749081600","40000000"
"6/6/2025","1749168000","40000000"
"6/7/2025","1749254400","40000000"
"6/8/2025","1749340800","40000000"
"6/9/2025","1749427200","40000000"
"6/10/2025","1749513600","40000000"
"6/11/2025","1749600000","40000000"
"6/12/2025","1749686400","40000000"
"6/13/2025","1749772800","40000000"
"6/14/2025","1749859200","40000000"
"6/15/2025","1749945600","40000000"
"6/16/2025","1750032000","40000000"
"6/17/2025","1750118400","40000000"
"6/18/2025","1750204800","40000000"
"6/19/2025","1750291200","40000000"
"6/20/2025","1750377600","40000000"
"6/21/2025","1750464000","40000000"
"6/22/2025","1750550400","40000000"
"6/23/2025","1750636800","40000000"
"6/24/2025","1750723200","40000000"
"6/25/2025","1750809600","40000000"
"6/26/2025","1750896000","40000000"
"6/27/2025","1750982400","40000000"
"6/28/2025","1751068800","40000000"
"6/29/2025","1751155200","40000000"
"6/30/2025","1751241600","40000000"
"7/1/2025","1751328000","40000000"
"7/2/2025","1751414400","40000000"
"7/3/2025","1751500800","40000000"
"7/4/2025","1751587200","40000000"
"7/5/2025","1751673600","40000000"
"7/6/2025","1751760000","40000000"
"7/7/2025","1751846400","40000000"
"7/8/2025","1751932800","40000000"
"7/9/2025","1752019200","40000000"
"7/10/2025","1752105600","40000000"
"7/11/2025","1752192000","40000000"
"7/12/2025","1752278400","40000000"
"7/13/2025","1752364800","40000000"
"7/14/2025","1752451200","40000000"
"7/15/2025","1752537600","40000000"
"7/16/2025","1752624000","40000000"
"7/17/2025","1752710400","40000000"
"7/18/2025","1752796800","40000000"
"7/19/2025","1752883200","40000000"
"7/20/2025","1752969600","40000000"
"7/21/2025","1753056000","40000000"
"7/22/2025","1753142400","40000000"
"7/23/2025","1753228800","40000000"
"7/24/2025","1753315200","40000000"
"7/25/2025","1753401600","40000000"
"7/26/2025","1753488000","40000000"
"7/27/2025","1753574400","40000000"
"7/28/2025","1753660800","40000000"
"7/29/2025","1753747200","40000000"
"7/30/2025","1753833600","40000000"
"7/31/2025","1753920000","40000000"
"8/1/2025","1754006400","40000000"
"8/2/2025","1754092800","40000000"
"8/3/2025","1754179200","40000000"
"8/4/2025","1754265600","40000000"
"8/5/2025","1754352000","40000000"
"8/6/2025","1754438400","40000000"
"8/7/2025","1754524800","40000000"
"8/8/2025","1754611200","40000000"
"8/9/2025","1754697600","40000000"
"8/10/2025","1754784000","40000000"
"8/11/2025","1754870400","40000000"
"8/12/2025","1754956800","40000000"
"8/13/2025","1755043200","40000000"
"8/14/2025","1755129600","40000000"
"8/15/2025","1755216000","40000000"
"8/16/2025","1755302400","40000000"
"8/17/2025","1755388800","40000000"
"8/18/2025","1755475200","40000000"
"8/19/2025","1755561600","40000000"
"8/20/2025","1755648000","40000000"
