address,gov_delegation,active_gov_delegation,drop2_mod,op_amount_decimal_adjusted,op_amount_raw
0x007a51945e18f279a259b5a1334c2d24569b20f1,58.16245077,0.0,0.005807768195,58.16825854,58168258538426100000
0x007b003c4d0145b512286494d5ae123aeef29d9e,235.9460303,0.0,4.933749048,240.8797794,240879779376298000000
0x007c002aa0b7e4f20985c9161275594e35aca8be,331.7554954,0.0,6.894565877,338.6500613,338650061282411000000
0x00803232cc216eef9b396d6cfffd4b51e09f29da,17.90207943,35.80415885,0.0,53.70623828,53706238276293100000
0x00812076e9460d60e7f9af956cbda17ac64eeaa2,107.058873,214.1177461,0.0,321.1766191,321176619134362000000
0x00826296dbb0f2fcf676412eeab998ef696514bb,25.55970518,51.11941036,0.0,76.67911555,76679115546481200000
0x0087a081a9b430fd8f688c6ac5dd24421bfb060d,463.4984321,926.9968642,14.24079354,1404.73609,1404736089893020000000
0x008c84421da5527f462886cec43d2717b686a7e4,1030.259533,0.0,21.54324014,1051.802773,1051802773291410000000
0x008d7a063eb5f7c706b72fbe48ce532defe153d1,28.04642132,56.09284264,3.067338682e-06,84.13926702,84139267023771700000
0x008da990e7495babd6875adf86da04ffc3cf0ab6,37.64021134,0.0,0.0,37.64021134,37640211342466100000
0x008f96aab23e71c98398e6c5dabf2ee2ded9f15d,331.7554954,0.0,6.894565877,338.6500613,338650061282411000000
0x0090720fed7fed66ed658118b7b3bb0189d3a495,290.927105,581.8542099,6.046067416,878.8273823,878827382337461000000
0x00920677ec1a0ecd6271cae4ed54576963c6b01a,244.4095289,488.8190578,5.11072502,738.3393117,738339311719294000000
0x009255de16f337807228955e9811dd20e3e69e55,67.22421583,134.4484317,1.073645372,202.7462929,202746292859945000000
0x00929c5c2c4f00b540e429247669eb6fcd8b1dbf,56.41986267,112.8397253,1.006415378,170.2660034,170266003392041000000
0x0098ab53090d484cabe0d734e63d84a9e0121368,32.48374105,64.9674821,0.8480370817,98.29926023,98299260232312800000
0x0098decbac5ae0938bbdb7aaf6e27b0d8cd164cd,309.3421118,618.6842235,6.894565877,934.9209011,934920901134682000000
0x0099f5326f05fb8b3f541997526e9d9224a88147,623.8318561,1133.226745,12.97590229,1770.034503,1770034502907440000000
0x0099fa965c7620921332455e3a1f9ae24867ddab,910.1839455,1820.367891,21.91513362,2752.46697,2752466970127970000000
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,3131.701161,6263.402322,65.06284514,9460.166328,9460166328118870000000
0x009c07cc41a358176c97b525284d50f4960bc939,195.9896762,391.9793524,2.741091209,590.7101199,590710119882876000000
0x009d13e9bec94bf16791098ce4e5c168d27a9f07,21.08389783,42.16779566,0.0,63.25169349,63251693494352500000
0x009ec7d76febecabd5c73cb13f6d0fb83e45d450,37.61945194,75.23890388,0.03745875751,112.8958146,112895814580292000000
0x009fc90bfa74825c912f54925ac434c214973f80,80.01122971,160.0224594,0.0,240.0336891,240033689130548000000
0x00a047ab2cb3865d1867c5b2b83e40d542e04378,21.99840518,43.99681035,0.1040775534,66.09929308,66099293081963100000
0x00a133c53edb71773c7cd2d6b3285a442f4590c1,122.407298,244.8145961,0.0,367.2218941,367221894088933000000
0x00a135cd2a91ee08dc6dfc314802b553ee6b1b6e,58.73972603,117.4794521,0.0,176.2191781,176219178082192000000
0x00a2260ee0bee6f1e4b9571796aaa783f8d1cdef,142.7192006,285.4384011,3.633588803,431.7911905,431791190482729000000
0x00a4b7fae16cd0169902bc4e3ac7dacbcf685dcd,28.95380161,37.43287511,1.834283082,68.2209598,68220959798109300000
0x00a502e608b7d0befe29c65ba87ef66a17801889,508.2950713,1016.590143,10.56342367,1535.448638,1535448637533910000000
0x00aca4ef6cc9d7feb665d506958eeae22df73573,331.7554954,663.5109908,6.894565877,1002.161052,1002161052092370000000
0x00ad3c523b715cbd6cc1771f1a1743269b220fa4,36.91198862,73.82397724,0.1697656694,110.9057315,110905731530928000000
0x00adbb7d7170cdfdee0f68a226bbb64d069f0e2b,43.15660564,86.31321128,0.8629621016,130.332779,130332779021530000000
0x00ae72a0805ac2081556128a9fdfbe75b574f89c,321.0171392,0.0,6.894565877,327.9117051,327911705118027000000
0x00ae7fe77ab7c4e77f894c76c167dc310766c57a,19.34006331,38.68012662,0.4449268994,58.46511683,58465116833367300000
0x00af41c6ee0b153e973004529db12e35a65748f6,106.6553827,213.3107653,17.45798955,337.4241375,337424137521584000000
0x00aff6d5bcd342a3fc51419997b13b8ee0f75bcb,33.94283668,67.88567337,0.6802019781,102.508712,102508712031186000000
0x00b56c70197e8b1abfa3387aea0674bb3cc758b0,115.167941,230.3358819,2.412478613,347.9163015,347916301507857000000
0x00b74e65c5b273b83bea5181e293f60330ff902f,236.7792256,473.5584513,4.933749048,715.271426,715271425988863000000
0x00b7c84dbbd871a8eb209138174d1ef378f015a0,28.29749206,56.59498413,0.575006439,85.46748263,85467482627112400000
