address,is_eligible_l1_gas,is_eligible_opc_gas,a_min_contract_created_at,b_last_transfers_in_days,c_last_active_in_days,d_gas_fee_eth_last_180days_threshold,e_is_wlta_creator,multiplier,op_amount_raw
0x00ccc4ea0ffe733bbabd5a25638df26197834d0d,False,True,False,True,True,True,False,1.25,432034672760115029178
0x00cdebc042c87c95e439e1aefa0bd3a8014da577,False,True,False,True,True,True,False,1.25,6000000000000000000000
0x00cec39a9d57168f3d0c435d452626934cb112ec,True,False,True,True,False,True,False,1.25,27915214314589455569
0x00d6e1038564047244ad37080e2d695924f8515b,True,False,True,True,True,True,False,1.5,399790694648367434638
0x00d8de7b5cc873c012dfea52795a85ef963f6004,False,True,False,True,True,True,False,1.25,41137254188060623505
0x00d93200d9ec662c4f3238db005daa9a8e820ec2,True,False,True,True,False,True,False,1.25,182650337595463042817
0x00df4e8d293d57718aac0b18cbfbe128c5d484ef,True,False,False,True,True,True,False,1.25,28970777919590439353
0x00e01237c2e4a85324539949ebee43d990239e26,True,False,False,False,False,False,False,1.0,23119788891339549508
0x00e0304767ee14018ddcb533ef64bf25b7014713,False,True,False,True,True,True,False,1.25,65972106969039998603
0x00e5bf77d3466fab615f9e1604c69f2588a78cd0,True,False,False,True,True,True,False,1.25,61554962540638967994
0x00e5d02ba5aeae36ad6564344d2a3b52569ff99f,False,True,False,True,True,True,False,1.25,42130041729122503114
0x00e855e13ccde7f02ccbbeaea75550b7156b505c,False,True,False,True,True,False,False,1.1,26172676922437652536
0x00e9f6678828299f8b8445e6981856ac7d03bb20,False,True,False,False,True,False,False,1.05,25176356568034876204
0x00ec56241b07bf6a63cccfffcc5718aac2f54dc6,True,False,True,True,True,True,False,1.5,26737252041663325031
0x00eeabd52b35ebaf74943c6999ed5002559baa39,True,False,False,True,True,True,False,1.25,692742003530794818289
0x00ef256c967703ec84acdbee0b9690d3bbcbd6dc,True,False,True,True,True,True,False,1.5,28897770332253170267
0x00f04107845a71304aca2a029f175dbb014e397a,False,True,False,False,True,True,False,1.1,38000720403230204170
0x00f057da77122300a71236e2e4e73e5a37c6477d,True,False,False,True,False,False,False,1.05,97613481565325514566
0x00f32727004e346e2ccd7251884751bdee989ed1,False,True,False,False,False,True,False,1.05,292983818146639748647
0x00f5058230d8dff9047b2bdfa14edae21c53d0fc,False,True,False,True,True,False,False,1.1,30362284002824953433
0x00f62626b9aca8fba3ed271082068136e0024072,True,False,False,True,True,True,False,1.25,1879005735164144880400
0x00f84d095c2ac97435ceb0d5c17c7ebbaadd3822,True,False,False,False,False,False,False,1.0,22869829826801741035
0x00fa6859ff65f86ed6820a451bcee82c09baaeea,False,True,False,False,False,True,False,1.05,607855509044391851603
0x00fafc09001a2786dfde5ba9ef72837c6382e772,True,False,True,True,False,True,False,1.25,314469326759410193972
0x00fcadfb3dd90d5482d30edb0d5f38aefb9bad25,False,True,False,False,True,False,False,1.05,1110654775921108921466
0x00fdf14bc22dfc88546d9c7ac54c8c110832d811,False,True,False,False,False,True,False,1.05,33754772873581202930
