address,op_total
0xefc5ff84594ebf147dceaeb5c41079672cf0d85c,3895139107090330025984
0x7e0371ec1177d3cf177a1a9a87dbc1e1864cd828,3855438259769486344192
0xf2eae206f22afe2b9b1c71a274a85bd0d4cdeac0,3836077529775886303232
0xf2f6709f1917b3ecb2e97fadfec206cd56da76ed,3819528558060827049984
0x388fc1ec361a97375f8d5a5a68374a09be62062f,3786080521767214383104
0x9dc2b138ba2008201931397195cfc41b9a4ac9f6,3770769334844564963328
0xa2a1a8c7e25afc1eac866aadad37567427b93413,3746674514336013090816
0x333661ec481bb9902734a29db014767833592e4a,3710994549279864913920
0x06001b990f7fbe1812d42a8a61d1288721b926a3,3704524933457616830464
0x02b0ff557c507fe7a90305618177f55677d7b016,3611499829685479014400
0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,3595749763094357213184
0x46695b4ebfa574315f5b049387ebac8ce5ac31fb,3590179410029759168512
0x5c89c420a9e82ea9aedbaaab03302e39982919b9,3555703875182172569600
0xc1f87ecbba973728a06b6dfd18a2399cccca0376,3532986804495661400064
0x03354437f81ae7ae5569f63ba3b4a1325dd12e69,3514964127304543895552
0xd2c2e84501c63b7b9897df063288d67060119c99,3477825345760010960896
0x319c1025f98ab1feeb615843b5aa7bf61644dce0,3461815562366775459840
0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa,3378370469084130705408
0x800623d31753f05461a72b6cd4f2b85c6f8ac87f,3345200480753349033984
0xe1e3fdff95c3c97a73c503dd16c19f0f8b0314bb,3294087970029367197696
0x643430283b19fa5bd70a1138b495c2b43523cdd5,3293901473656586371072
0xc35645a9cd635feb173b2ac6de79d90890f50ab9,3193866697641634037760
0xaa322be189a0b82b032862dfdc927d292d789422,3191525127903731777536
0xd6dcf20e30c1a897d2a30ddda0206e09d8fe0329,3182388428242197413888
0x160f6ef9fcdde6ff3febc7a57edbfd476a8aab5b,3094873302465585872896
0x9bd39a1e44e3b653f64ff2f1557d7a6e2eb02212,3091122297822617010176
0xcd812016b15e1937e281b7b7b1f1654e54cc0818,3088049093839425634304
0x666936a007c8c2e70dd5aae9151fd50de858fb16,3087115027929796968448
0xdb6e9e7390e9acc34619e56efa48ade01cff6f12,3069130104175819489280
0xdd7ee7e92ff7675965d08385ec7279448f17e80b,3043508141659264647168
0x6469f95287f7b5d9ebd720b9d93dd14fce575237,3033776375420848439296
0xfb08e4ffe1d0ab3e4ac462b944b745dfe2a10dd3,3025559406055138525184
