,join_id,dt,chain,active_secs_per_day,num_l1_txs_inbox,num_l1_txs_output,calldata_bytes_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_l1_gas_price_on_l2,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_combined,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_num_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l1_gas_used_on_l2,calldata_bytes_l2_per_day,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used,l2_eth_fees_per_day,gas_compression_ratio,bytes_compression_ratio,dt_rank
30,2023-09-05zora network,2023-09-05 00:00:00+00:00,Zora Network,86400.0,166,24,12852612.0,17.507944782549792,17.238481366051584,11208324405.32131,208506360.0,2084304.0,210590664.0,3.650517837690448,0.0359302356651867,3.6864480733556353,3.6373173287247273,4.32383676501557,84083.0,43200.0,11.0,306869180.0,29614734.0,306869180.0,18371362.0,14143539621.0,7.961154093739406,0.6794633465635096,0.4339938356360047,8
31,2023-09-05public goods network,2023-09-05 00:00:00+00:00,Public Goods Network,86400.0,145,24,1865510.0,17.382854186059994,16.66366131224859,17230395.942105994,32841896.0,2084352.0,34926248.0,0.5708858893617471,0.0347329357835079,0.6056188251452551,0.0017593028098185,0.0107131245250664,57.0,43200.0,29.0,201204.0,11256652.0,201204.0,12472.0,2184904748.0,0.0124724273348849,163.2268543368919,0.1657251196892291,8
32,2023-09-04op mainnet,2023-09-04 00:00:00+00:00,OP Mainnet,86400.0,542,24,62658748.0,15.629792682773871,15.618427931574184,15.406890952472107,1011123496.0,2084580.0,1013208076.0,15.803650619161534,0.0325578624976009,15.836208481659137,16.738642782788425,7.29999666286253,302299.0,43200.0,275.0,1588360692.0,137209782.0,1588360692.0,125861546.0,105420522062.0,24.038639445650954,0.636583051376595,0.4566638550595467,9
33,2023-09-04base,2023-09-04 00:00:00+00:00,Base,86400.0,1434,24,53724431.0,15.979223306382517,15.220544030884298,15.803809379669024,887146832.0,2084292.0,889231124.0,14.175917334077814,0.0317240581592199,14.207641392237036,14.694367333968737,16.319672821380866,308383.0,43200.0,590.0,1359355372.0,109275366.0,1359355372.0,97779671.0,221707626585.0,31.0140401553496,0.6526231846899266,0.49164265439293975,9
34,2023-09-04zora network,2023-09-04 00:00:00+00:00,Zora Network,86400.0,147,24,11658668.0,15.525684077266428,16.492983464730052,9432917479.896849,189068120.0,2084364.0,191152484.0,2.935411900202699,0.0343773809864785,2.9697892811891773,2.8700152406537254,2.8139820318974307,79239.0,43200.0,3.0,275112696.0,26649313.0,275112696.0,15407565.0,12782959894.0,5.683997272551249,0.6872388034029516,0.43748474866875553,9
35,2023-09-04public goods network,2023-09-04 00:00:00+00:00,Public Goods Network,86400.0,146,24,1887399.0,16.013556888359545,15.915921031528852,53381104.65993134,33210852.0,2084340.0,35295192.0,0.5318238678128893,0.0331741908428568,0.5649980586557461,0.0050907353899724,0.0175509464674388,161.0,43200.0,42.0,516564.0,11277232.0,516564.0,27592.0,2192367426.0,0.0226416818574113,64.2918437986387,0.167363675767245,9
36,2023-09-03op mainnet,2023-09-03 00:00:00+00:00,OP Mainnet,86400.0,492,24,56810383.0,12.202272839885747,11.981987851911873,12.09778729634811,916788748.0,2084592.0,918873340.0,11.18690643963326,0.0249775560201926,11.211883995653452,11.815313154780243,5.130644654259803,278496.0,43200.0,289.0,1427851988.0,124044719.0,1427851988.0,112690603.0,90614067203.0,16.945957809040046,0.6420754782042577,0.4579830843101027,10
37,2023-09-03base,2023-09-03 00:00:00+00:00,Base,86400.0,1429,24,50574993.0,12.297997883893949,11.964929256949697,12.230171902040734,836765244.0,2084292.0,838849536.0,10.290537200028009,0.0249384063308261,10.315475606358833,10.537007836790576,19.598123570137577,298633.0,43200.0,694.0,1259588364.0,98798907.0,1259588364.0,87256113.0,222184142646.0,30.135131406928156,0.6643164290139473,0.5118983047049296,10
38,2023-09-03zora network,2023-09-03 00:00:00+00:00,Zora Network,86400.0,153,24,12867182.0,12.158424610451384,12.535650436128316,7885109024.700225,208465028.0,2084292.0,210549320.0,2.5346063268536367,0.0261279559188187,2.5607342827724557,2.5354572609387627,2.89463552430916,91790.0,43200.0,16.0,310097448.0,28696800.0,310097448.0,17450168.0,14453691520.0,5.430092785248217,0.6722565095085852,0.44838386161523236,10
39,2023-09-03public goods network,2023-09-03 00:00:00+00:00,Public Goods Network,86400.0,145,24,1874577.0,12.00482029358634,12.520528101755978,18267267.92770417,32986200.0,2084364.0,35070564.0,0.3959934031682977,0.0260973380362884,0.4220907412045862,0.0019211223191369,0.0093510847354544,68.0,43200.0,54.0,247260.0,11269248.0,247260.0,14568.0,2192372871.0,0.0112722070545913,133.40694006309147,0.16634446238116332,10
