App Name,# OP Allocated,Actions Rewarded,Announced On,Announcement Link,App Link,App Name Map Override,App Type,Created time,Description,End Date,Gov Proposal Link,Incentive / Growth Program Included?,Recipient L2 Address,SQL Import,Source,Start Date,Status,Status - Season
dm3 Protocol,50000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/dm3-protocol-messaging-as-a-public-good/5505,,0x11Ee133A1408FE2d7c62296D7eB33F234b774503,",('Project','0x11Ee133A1408FE2d7c62296D7eB33F234b774503','dm3 Protocol','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Dope Wars,300000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xe290c12c3871de18c7be44d0ce19e3fe46401adbdd9fa25077629cb356889be2,Yes,,",('Project','','Dope Wars','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Edge Wallet,50000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/gf-phase-1-proposal-edge-wallet-integration-of-optimism-velodrome-lp-staking-swaps-tarot-lp-staking/3994,No - Grants Only,0xAC6f8Aa1416c67DFFfd4aDED0f659f14BA4572cf,",('Project','0xAC6f8Aa1416c67DFFfd4aDED0f659f14BA4572cf','Edge Wallet','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
ENS Wildcard Domains,45000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-ens-wildcard-domains/5044,No - Grants Only,0x1CC505f78C83f65636c5A4227ed0C0D9307eA55b,",('Project','0x1CC505f78C83f65636c5A4227ed0C0D9307eA55b','ENS Wildcard Domains','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
EthernautDAO,120000,Developer Contributions,"December 8, 2022",https://twitter.com/EthernautDAO/status/1600845122736132098,,,DAO,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x05126c50a6227f339b64d712e6bf070c769f410bcd7cdbe62ba6493ab49b08e6,No - Grants Only,,",('Project','','EthernautDAO','Governance - Season 2')",Governance - Season 2,"December 8, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Exactly,100000,Liquidity Providing / Deposits,"March 3, 2023",https://twitter.com/ExactlyProtocol/status/1631722997546459147?s=20,https://exact.ly/,,Lend/Borrow Market,"April 5, 2023 11:32 PM",,,,Yes,,",('Project','','Exactly','Partner Fund')",Partner Fund,"March 3, 2023",Live ‎🔥,Live ‎🔥 - Partner Fund
Fairmint,250000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/ready-fairmint-growth-experiments-cycle-11/5508,,0x926E2d35053e2d9d1CC72C6eDA23F13a33270a76,",('Project','0x926E2d35053e2d9d1CC72C6eDA23F13a33270a76','Fairmint','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Footprint Analytics,30000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/footprint-analytics-optimism-builders-grant-cycle-11/5603,,0x1f0A4eb02d9BEfBd1538E8D230699d4e434CDbEE,",('Project','0x1f0A4eb02d9BEfBd1538E8D230699d4e434CDbEE','Footprint Analytics','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Front running protection,30000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-front-running-protection-via-shielded-mempool-for-op-stack-using-threshold-encryption/5036,No - Grants Only,0x9f69999a4b54c7b35a1AB056E269CbB6ed19124D,",('Project','0x9f69999a4b54c7b35a1AB056E269CbB6ed19124D','Front running protection','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Galxe,200000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/growth-experiments-grant-optimism-oat-subsidization-on-galxe-cycle-11/5535,,0x5aB0Fdc6F0CA9Ea178c95cECCf944A4ce1AedDdD,",('Project','0x5aB0Fdc6F0CA9Ea178c95cECCf944A4ce1AedDdD','Galxe','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Gelato,300000,,,,https://www.gelato.network/,,"Automation, Options","July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-gelato/873/4,No - Grants Only,,",('Project','','Gelato','Governance - Phase 0')",Governance - Phase 0,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Phase 0
Geo Web,20000,,"April 12, 2023",https://geoweb.land/,geoweb.network,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/geo-web-growth-experiments-cycle-11/5594,Yes,0xDE798cD9C53F4806B9Cc7dD27aDf7c641540167c,",('Project','0xDE798cD9C53F4806B9Cc7dD27aDf7c641540167c','Geo Web','Governance - Season 3')",Governance - Season 3,"April 12, 2023",Live ‎🔥,Live ‎🔥 - Governance - Season 3
Giveth,40000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/giveth-growth-experiment/5637,,0x4D9339dd97db55e3B9bCBE65dE39fF9c04d1C2cd (giv.eth),",('Project','0x4D9339dd97db55e3B9bCBE65dE39fF9c04d1C2cd (giv.eth)','Giveth','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Herodotus,50000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/cycle-11-herodotus-storage-proofs/5630,,0x17C2D875CB397D813eAE817DaFD25807E348Df07,",('Project','0x17C2D875CB397D813eAE817DaFD25807E348Df07','Herodotus','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Hop Protocol,1000000,Bridging,"September 22, 2022",https://twitter.com/HopProtocol/status/1573139035723276288,https://hop.exchange/,,Cross-Chain / Bridging,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-hop-protocol/944,Yes,,",('Project','','Hop Protocol','Governance - Phase 0')",Governance - Phase 0,"September 22, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
