chain_name,display_name,mainnet_chain_id,public_mainnet_launch_date,op_based_version,chain_type,has_mods,is_law_of_chains,raas_deployer,rpc_url,product_website,defillama_slug,l2beat_slug,growthepie_origin_key,goldsky_schema,dune_schema,gas_token,chain_layer,da_layer,output_root_layer,system_config_proxy,is_in_superchain_registry_repo,oplabs_db_schema,batchinbox_from,batchinbox_to,outputoracle_from,outputoracle_to_proxy,l1_standard_bridge,is_op_chain,alignment
rollux,Rollux,570.0,2023-06-29,modern,,yes,,,https://rpc.rollux.com,https://rollux.com/,Rollux,,,,,SYS,L2,syscoin,unknown,,no,,,,,,,False,OP Stack fork
unidex molten,Molten Network,,,unknown,,unknown,,caldera,,https://www.unidex.exchange/molten-network,,,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
stealthchain,StealthChain,,,unknown,,unknown,,,,stealthchain.org,,stealthchain,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
redstone,Redstone,690.0,2024-05-01,modern,non-standard,yes,,,https://rpc.redstonechain.com,https://redstone.xyz/,,redstone,,,,ETH,L2,op-plasma,ethereum,0x8f2428f7189c0d92d1c4a5358903a8c80ec6a69d,no,,0xa31cb9bc414601171d4537580f98f66c03aecd43,0xff00000000000000000000000000000000000690,,0xa426a052f657aeeefc298b3b5c35a470e4739d69,0xc473ca7e02af24c129c2eef51f2adf0411c1df69,True,OP Chain
celol2,Celo L2,,,modern,non-standard,yes,,,,https://celo.org/,,,,,,CELO,L2,eigenda,ethereum,,no,,,,,,,True,OP Chain
swanchain,SwanChain,,,modern,,unknown,,,,https://swanchain.io/,,,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
hypr network,Hypr,881.0,2023-01-17,modern develop,,yes,,,https://rpc.hypr.network,https://www.hypr.network/,,hypr,,,,ETH,L2,celestia,ethereum,0xbb08cf90deb93492b463f1ee5da9453e51643586,no,,0x994c288de8418c8d3c5a4d21a69f35bf9641781c,0x0c57b7f3bac278be091431b52470fbadbc4240e6,0xef2169180a2eda91b695ea5e5c4f4547c013840c,0x3e4f4eb77a9c1f88c0e1f5adcc9d3521ce157fdd,0x1bbde518ad01baabfe30020407a7630fb17b545d,False,OP Stack fork
metal,Metal,1750.0,2024-05-09,modern,standard,no,,,https://rpc.metall2.com/,https://metall2.com/,,metal,,metal,,ETH,L2,ethereum,ethereum,0x7bd909970b0eedcf078de6aeff23ce571663b8aa,no,metal,0xc94c243f8fb37223f3eb2f7961f7072602a51b8b,0xc83f7d9f2d4a76e81145849381aba02602373723,0xc8187d40ad440328104a52bbed2d8efc5ab1f1f6,0x3b1f7ada0fcc26b13515af752dd07fb1cac11426,0x6d0f65d59b55b0fec5d2d15365154dcadc140bf3,True,OP Chain
lisk,Lisk,,,modern,standard,no,,gelato,,https://lisk.com/,,lisk,,,,ETH,L2,ethereum,unknown,,no,,,,,,,True,OP Chain
bob,BOB (Build on Bitcoin),60808.0,2024-05-01,modern,,yes,,conduit,https://rpc.gobob.xyz/,https://www.gobob.xyz/,BOB,bob,,bob,,ETH,L2,ethereum bitcoin,ethereum,0xacb886b75d76d1c8d9248cfddfa09b70c71c5393,no,bob,0x08f9f14ff43e112b18c96f0986f28cb1878f1d11,0x3a75346f81302aac0333fb5dcdd407e12a6cfa83,0x7cb1022d30b9860c36b243e7b181a1d46f618c69,0xdda53e23f8a32640b04d7256e651c1db98db11c1,0x3f6ce1b36e5120bbc59d0cfe8a5ac8b6464ac1f7,False,OP Stack fork
mint,Mint,185.0,2024-05-15,modern,standard,no,,conduit,https://rpc.mintchain.io,https://www.mintchain.io/,,mint,,,,ETH,L2,ethereum,ethereum,0xc975862927797812371a9fb631f83f8f5e2240d5,no,,0x68bdfece01535090c8f3c27ec3b1ae97e83fa4aa,0x4e31448a098393727b786e25b54e59dca1b77fe1,0x3d53df1e69a32f98dfccf23ccb689763e21a78ba,0xb751a613f2db932c6cdef5048e6d2af05f9b98ed,0x2b3f201543adf73160ba42e1a5b7750024f30420,True,OP Chain
foam space,FOAM,,,unknown,,yes,,,,https://foam.space/,,,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
blast,Blast,81457.0,2024-02-29,modern,,yes,,,https://rpc.blast.io/,https://blast.io/,Blast,blast,,,,ETH,L2,ethereum,ethereum,0x5531dcff39ec1ec727c4c5d2fc49835368f805a9,no,,0x415c8893d514f9bc5211d36eeda4183226b84aa7,0xff00000000000000000000000000000000081457,0x082b616ec99167b2fedee053f07db6795d4da821,0x826d1b0d4111ad9146eb8941d7ca2b6a44215c76,0x697402166fbf2f22e970df8a6486ef171dbfc524,False,OP Stack fork
rss3,RSS3 Value Sublayer,12553.0,2024-03-12,unknown,,yes,,,https://rpc.rss3.io,https://rss3.io/,,rss3,,,,unknown,L2,celestia,unknown,,no,,,,,,,False,OP Stack fork
zentachain,Zentachain,,,unknown,,unknown,,,,https://zentachain.io/,,zentachain,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
syndicate frame chain,Syndicate Frame Chain,5101.0,2024-02-16,modern,,yes,,syndicate,https://rpc-frame.syndicate.io,https://frame.syndicate.io/,,syndicateframe,,,,ETH,L3,celestia,base,,no,,,,,,,False,OP Stack fork
fraxtal,Fraxtal,252.0,2024-03-11,modern,non-standard,yes,,self-hosted,https://rpc.frax.com,https://www.frax.com/,Fraxtal,fraxtal,,frax,,frxETH,L2,fraxtalda,ethereum,0x34a9f273cbd847d49c3de015fc26c3e66825f8b2,no,fraxtal,0x6017f75108f251a488b045a7ce2a7c15b179d1f2,0xff000000000000000000000000000000000420fc,0xfb90465f3064ff63fc460f01a6307ec73d64bc50,0x66cc916ed5c6c2fa97014f7d1cd141528ae171e4,0x34c0bd5877a5ee7099d0f5688d65f4bb9158bde2,True,OP Chain
zircuit,Zircuit,48899.0,,unknown,,yes,,,https://zircuit1.p2pify.com/,https://www.zircuit.com/,,,,,,ETH Sepolia,L2,ethereum sepolia,unknown,,no,,,,,,,False,OP Stack fork
goldchain,Gold,4653.0,2024-02-26,modern,,yes,,syndicate,https://chain-rpc.gold.dev,https://www.gold.dev/,,,,,,ETH,L3,celestia,base,,no,,,,,,,False,OP Stack fork
pontem,Pontem,8866.0,2024-02-28,modern,standard,unknown,,conduit,https://mainnet.lumio.io/,https://lumio.io/,,,,,,ETH,L2,ethereum,ethereum,0xfb252d6199aefee6938a1c57213aad96ecd2650c,no,,0x5c53f2ff1030c7fbc0616fd5b8fc6be97aa27e00,0x5c53f2ff1030c7fbc0616fd5b8fc6be97aa27e00,0xb6e2eee22b684f6aab2083097f7e874994ba930e,0xffb004874cbbf8692b5f397b602f4b8a630aed59,0xdb5c6b73cb1c5875995a42d64c250bf8bc69a8bc,True,OP Chain
